ID,PC,Opcode,Bitwidth,Execution_Count,Avg_Latency,MemLevel,BranchCount
0,0x7ffff7fe40cd,LOAD,64,7,64.00,L2,0
1,0x7ffff7fe40ea,BRANCH,64,5,12.80,N/A,2
2,0x7ffff7fe42d0,OTHER,64,1,0.00,N/A,0
3,0x7ffff7fe4346,LOAD,32,8,96.00,L1,0
4,0x7ffff7fe4346,LOAD,32,18,85.33,L1,0
5,0x7ffff7fe4346,LOAD,32,28,76.57,L1,0
6,0x7ffff7fe4346,LOAD,32,38,82.53,L1,0
7,0x7ffff7fe4346,LOAD,32,48,78.67,L1,0
8,0x7ffff7fe4346,LOAD,32,58,91.03,L1,0
9,0x7ffff7fe4346,LOAD,32,68,87.53,L1,0
10,0x7ffff7fe4346,LOAD,32,78,89.03,L1,0
11,0x7ffff7fe4346,LOAD,32,88,86.18,L1,0
12,0x7ffff7fe4346,LOAD,32,98,84.24,L1,0
13,0x7ffff7fe4346,LOAD,32,108,85.04,L1,0
14,0x7ffff7fe4346,LOAD,32,118,83.53,L1,0
15,0x7ffff7fe4346,LOAD,32,128,82.25,L1,0
16,0x7ffff7fe4346,LOAD,32,138,80.23,L1,0
17,0x7ffff7fe43be,BRANCH,64,2,16.00,N/A,2
18,0x7ffff7fe43be,BRANCH,64,5,57.60,N/A,2
19,0x7ffff7fe430e,LOAD,64,2,32.00,L1,0
20,0x7ffff7fe2476,OTHER,64,1,0.00,N/A,0
21,0x7ffff7fe2493,BRANCH,64,32,0.00,N/A,2
22,0x7ffff7fe248b,ARITH,64,66,55.76,N/A,0
23,0x7ffff7fe2516,ARITH,64,4,48.00,N/A,0
24,0x7ffff7fe2510,BRANCH,64,13,54.15,N/A,2
25,0x7ffff7fe255c,BRANCH,64,1,0.00,N/A,2
26,0x7ffff7fdaa02,BRANCH,64,1,0.00,N/A,2
27,0x7ffff7fdaa58,ARITH,32,8,52.00,N/A,0
28,0x7ffff7fdaa60,ARITH,32,18,55.11,N/A,0
29,0x7ffff7fdaa90,LOAD,32,6,64.00,L1,0
30,0x7ffff7fdaa5c,ARITH,64,35,53.94,N/A,0
31,0x7ffff7fda9d3,BRANCH,64,17,48.94,N/A,2
32,0x7ffff7fdaa84,OTHER,32,10,51.20,N/A,0
33,0x7ffff7fdaa71,LOAD,32,48,54.67,L1,0
34,0x7ffff7fdaa5c,ARITH,64,56,53.71,N/A,0
35,0x7ffff7fdaa6a,LOAD,32,66,166.79,LLC,0
36,0x7ffff7fda9e3,BRANCH,64,29,0.00,N/A,2
37,0x7ffff7fda9d3,BRANCH,64,43,52.84,N/A,2
38,0x7ffff7fdaa58,ARITH,32,77,57.77,N/A,0
39,0x7ffff7fdaa60,ARITH,32,87,54.44,N/A,0
40,0x7ffff7fdaa6f,BRANCH,64,97,54.10,N/A,2
41,0x7ffff7fdaa7a,OTHER,64,27,53.33,N/A,0
42,0x7ffff7fdaa20,ARITH,32,4,56.00,N/A,0
43,0x7ffff7fdaa5c,ARITH,64,114,54.46,N/A,0
44,0x7ffff7fdaa64,BRANCH,64,124,54.97,N/A,2
45,0x7ffff7fdaa75,LOGIC,32,133,56.54,N/A,0
46,0x7ffff7fda9ba,OTHER,64,5,51.20,N/A,0
47,0x7ffff7fda9dd,ARITH,64,67,55.88,N/A,0
48,0x7ffff7fda9e3,BRANCH,64,81,0.00,N/A,2
49,0x7ffff7fdaa6a,LOAD,32,145,111.89,LLC,0
50,0x7ffff7fdaa90,LOAD,32,39,60.72,L1,0
51,0x7ffff7fdaa58,ARITH,32,164,56.00,N/A,0
52,0x7ffff7fdaa6a,LOAD,32,173,105.06,LLC,0
53,0x7ffff7fdaa04,OTHER,64,6,48.00,N/A,0
54,0x7ffff7fdaa5c,ARITH,64,183,55.26,N/A,0
55,0x7ffff7fdaa64,BRANCH,64,193,54.22,N/A,2
56,0x7ffff7fdaa93,ARITH,32,51,53.33,N/A,0
57,0x7ffff7fdaa60,ARITH,32,210,54.70,N/A,0
58,0x7ffff7fdaa71,LOAD,32,212,55.40,L1,0
59,0x7ffff7fdaa58,ARITH,32,221,55.17,N/A,0
60,0x7ffff7fdaa64,BRANCH,64,230,54.12,N/A,2
61,0x7ffff7fdaa75,LOGIC,32,239,55.03,N/A,0
62,0x7ffff7fda9e1,LOGIC,32,102,56.78,N/A,0
63,0x7ffff7fda9d0,ARITH,32,116,56.28,N/A,0
64,0x7ffff7fdaa93,ARITH,32,65,54.15,N/A,0
65,0x7ffff7fdaa78,BRANCH,64,260,18.95,N/A,2
66,0x7ffff7fdaa64,BRANCH,64,268,54.33,N/A,2
67,0x7ffff7fdaa75,LOGIC,32,277,54.64,N/A,0
68,0x7ffff7fda9e1,LOGIC,32,128,56.00,N/A,0
69,0x7ffff7fdaa12,OTHER,32,9,56.89,N/A,0
70,0x7ffff7fdaa6a,LOAD,32,289,90.13,LLC,0
71,0x7ffff7fdaa71,LOAD,32,299,56.08,L1,0
72,0x7ffff7fdaa5c,ARITH,64,307,56.08,N/A,0
73,0x7ffff7fda9e8,LOGIC,64,9,49.78,N/A,0
74,0x7ffff7fdaa60,ARITH,32,316,54.18,N/A,0
75,0x7ffff7fdaa6f,BRANCH,64,326,55.56,N/A,2
76,0x7ffff7fdaa95,BRANCH,64,85,0.00,N/A,2
77,0x7ffff7fdaa64,BRANCH,64,343,53.83,N/A,2
78,0x7ffff7fda9d3,BRANCH,64,151,51.50,N/A,2
79,0x7ffff7fdaa71,LOAD,32,355,55.71,L1,0
80,0x7ffff7fdaa95,BRANCH,64,93,0.00,N/A,2
81,0x7ffff7fdaa60,ARITH,32,374,54.25,N/A,0
82,0x7ffff7fdaa71,LOAD,32,383,55.48,L1,0
83,0x7ffff7fda9e3,BRANCH,64,163,0.00,N/A,2
84,0x7ffff7fdaa58,ARITH,32,388,55.18,N/A,0
85,0x7ffff7fdaa60,ARITH,32,398,54.27,N/A,0
86,0x7ffff7fdaa71,LOAD,32,407,55.59,L1,0
87,0x7ffff7fdaa7a,OTHER,64,107,54.43,N/A,0
88,0x7ffff7fda9dd,ARITH,64,175,57.42,N/A,0
89,0x7ffff7fda9e3,BRANCH,64,189,0.00,N/A,2
90,0x7ffff7fdaa75,LOGIC,32,421,55.33,N/A,0
91,0x7ffff7fdaa5c,ARITH,64,430,56.19,N/A,0
92,0x7ffff7fdaa84,OTHER,32,112,54.57,N/A,0
93,0x7ffff7fdaa95,BRANCH,64,115,0.00,N/A,2
94,0x7ffff7fda9dd,ARITH,64,201,57.31,N/A,0
95,0x7ffff7fdaa58,ARITH,32,460,55.23,N/A,0
96,0x7ffff7fdaa60,ARITH,32,470,54.74,N/A,0
97,0x7ffff7fdaa6f,BRANCH,64,480,55.13,N/A,2
98,0x7ffff7fdaa58,ARITH,32,488,54.95,N/A,0
99,0x7ffff7fda9d5,LOAD,32,213,58.74,L2,0
100,0x7ffff7fdaa3e,LOGIC,32,15,44.80,N/A,0
101,0x7ffff7fdaa78,BRANCH,64,499,19.43,N/A,2
102,0x7ffff7fdaa5c,ARITH,64,509,55.76,N/A,0
103,0x7ffff7fdaa6f,BRANCH,64,518,55.17,N/A,2
104,0x7ffff7fda9b4,BRANCH,64,16,54.00,N/A,2
105,0x7ffff7fdaa6f,BRANCH,64,530,55.25,N/A,2
106,0x7ffff7fdaa93,ARITH,32,138,54.72,N/A,0
107,0x7ffff7fdaa5c,ARITH,64,549,55.66,N/A,0
108,0x7ffff7fdaa6f,BRANCH,64,558,55.28,N/A,2
109,0x7ffff7fda9e1,LOGIC,32,236,56.00,N/A,0
110,0x7ffff7fdaa22,BRANCH,64,17,0.00,N/A,2
111,0x7ffff7fdaa58,ARITH,32,568,54.87,N/A,0
112,0x7ffff7fdaa60,ARITH,32,578,54.75,N/A,0
113,0x7ffff7fdaa90,LOAD,32,150,61.01,L1,0
114,0x7ffff7fdaa5c,ARITH,64,595,55.72,N/A,0
115,0x7ffff7fdaa64,BRANCH,64,597,54.03,N/A,2
116,0x7ffff7fdaa71,LOAD,32,607,55.93,L1,0
117,0x7ffff7fdaa95,BRANCH,64,158,0.41,N/A,2
118,0x7ffff7fdaa64,BRANCH,64,623,54.09,N/A,2
119,0x7ffff7fda9d3,BRANCH,64,256,50.88,N/A,2
120,0x7ffff7fdaa58,ARITH,32,631,54.77,N/A,0
121,0x7ffff7fdaa64,BRANCH,64,640,54.05,N/A,2
122,0x7ffff7fdaa90,LOAD,32,167,61.13,L1,0
123,0x7ffff7fdaa5c,ARITH,64,658,55.44,N/A,0
124,0x7ffff7fda9e3,BRANCH,64,268,0.00,N/A,2
125,0x7ffff7fdaa90,LOAD,32,174,60.87,L1,0
126,0x7ffff7fdaa6f,BRANCH,64,675,55.13,N/A,2
127,0x7ffff7fdaa6f,BRANCH,64,683,55.14,N/A,2
128,0x7ffff7fdaa71,LOAD,32,690,56.07,L1,0
129,0x7ffff7fdaa6f,BRANCH,64,695,55.21,N/A,2
130,0x7ffff7fdaaa7,LOGIC,32,17,56.47,N/A,0
131,0x7ffff7fda9d5,LOAD,32,286,57.85,L2,0
132,0x7ffff7fda9dd,ARITH,64,300,56.96,N/A,0
