ID,PC,Opcode,Bitwidth,Execution_Count,Avg_Latency,MemLevel,BranchCount,Opcode_Num,Opcode_Num_Norm,Bitwidth_Norm,Execution_Count_Norm,Avg_Latency_Norm,FSS_Score
0,0x7ffff7fda9e1,LOGIC,32.0,213.0,63.4,,0.0,2.0,0.5,0.0,0.0021441564116373834,0.79101684341859,0.32329024995755684
1,0x7ffff7fda9e3,BRANCH,64.0,475.0,0.0,,2.0,1.0,0.25,1.0,0.00480656863840987,0.0,0.31370164215960245
2,0x7ffff7fda9d5,LOAD,32.0,707.0,66.99,L2,0.0,4.0,1.0,0.0,0.007164124503338178,0.8358078602620086,0.46074299619133674
3,0x7ffff7fdaa71,LOAD,32.0,2538.0,63.85,L1,0.0,4.0,1.0,0.0,0.025770524454561163,0.7966313162819713,0.45560046018413314
4,0x7ffff7feda7a,OTHER,32.0,6.0,53.33,,0.0,0.0,0.0,0.0,4.064751491255704e-05,0.6653774173424828,0.16635451621434882
5,0x7ffff7fd92b4,ARITH,32.0,28.0,49.14,,0.0,3.0,0.75,0.0,0.00026420884693162074,0.6131004366812227,0.34084116138203857
6,0x7ffff7fd4343,ARITH,64.0,595.0,53.94,,0.0,3.0,0.75,1.0,0.006025994085786581,0.6729881472239551,0.6072535353274354
7,0x7ffff7fd451a,ARITH,64.0,18.0,53.33,,0.0,3.0,0.75,1.0,0.00016259005965022814,0.6653774173424828,0.6038850018505333
8,0x7ffff7fce4fa,OTHER,32.0,43.0,52.84,,0.0,0.0,0.0,0.0,0.0004166370278537096,0.6592638802245789,0.16492012931310815
9,0x7ffff7fce6eb,BRANCH,64.0,39.0,53.33,,2.0,1.0,0.25,1.0,0.0003759895129411526,0.6653774173424828,0.478938351713856
10,0x7ffff7fce533,LOAD,32.0,109.0,80.15,L2,0.0,4.0,1.0,0.0,0.0010873210239109006,1.0,0.5002718302559777
11,0x7ffff7fce268,LOAD,64.0,70.0,53.03,L1,0.0,4.0,1.0,1.0,0.0006910077535134696,0.661634435433562,0.6655813607967689
12,0x7ffff7fce505,BRANCH,64.0,167.0,34.11,,2.0,1.0,0.25,1.0,0.0016767099901429778,0.4255770430442919,0.4193134382586087
13,0x555555555176,BRANCH,64.0,409.0,0.0,,2.0,1.0,0.25,1.0,0.004135884642352678,0.0,0.3135339711605882
14,0x555555555176,BRANCH,64.0,2409.0,0.0,,2.0,1.0,0.25,1.0,0.024459642098631197,0.0,0.3186149105246578
15,0x555555555176,BRANCH,64.0,4409.0,0.0,,2.0,1.0,0.25,1.0,0.04478339955490971,0.0,0.3236958498887274
16,0x555555555176,BRANCH,64.0,6409.0,0.0,,2.0,1.0,0.25,1.0,0.06510715701118823,0.0,0.3287767892527971
17,0x555555555176,BRANCH,64.0,8409.0,0.0,,2.0,1.0,0.25,1.0,0.08543091446746674,0.0,0.3338577286168667
18,0x555555555176,BRANCH,64.0,10409.0,0.0,,2.0,1.0,0.25,1.0,0.10575467192374527,0.0,0.3389386679809363
19,0x555555555176,BRANCH,64.0,12409.0,0.0,,2.0,1.0,0.25,1.0,0.12607842938002378,0.0,0.3440196073450059
20,0x555555555176,BRANCH,64.0,14409.0,0.0,,2.0,1.0,0.25,1.0,0.1464021868363023,0.0,0.3491005467090756
21,0x555555555176,BRANCH,64.0,16409.0,0.0,,2.0,1.0,0.25,1.0,0.1667259442925808,0.0,0.3541814860731452
22,0x555555555176,BRANCH,64.0,18409.0,0.0,,2.0,1.0,0.25,1.0,0.18704970174885935,0.0,0.3592624254372148
23,0x555555555176,BRANCH,64.0,20409.0,0.0,,2.0,1.0,0.25,1.0,0.20737345920513786,0.0,0.3643433648012845
24,0x555555555176,BRANCH,64.0,22409.0,0.0,,2.0,1.0,0.25,1.0,0.22769721666141637,0.0,0.3694243041653541
25,0x555555555176,BRANCH,64.0,24409.0,0.0,,2.0,1.0,0.25,1.0,0.2480209741176949,0.0,0.3745052435294237
26,0x555555555176,BRANCH,64.0,26409.0,0.0,,2.0,1.0,0.25,1.0,0.2683447315739734,0.0,0.37958618289349333
27,0x555555555176,BRANCH,64.0,28409.0,0.0,,2.0,1.0,0.25,1.0,0.28866848903025194,0.0,0.384667122257563
28,0x555555555176,BRANCH,64.0,30409.0,0.0,,2.0,1.0,0.25,1.0,0.30899224648653045,0.0,0.3897480616216326
29,0x555555555176,BRANCH,64.0,32409.0,0.0,,2.0,1.0,0.25,1.0,0.32931600394280897,0.0,0.3948290009857022
30,0x555555555176,BRANCH,64.0,34409.0,0.0,,2.0,1.0,0.25,1.0,0.34963976139908753,0.0,0.3999099403497719
31,0x555555555176,BRANCH,64.0,36409.0,0.0,,2.0,1.0,0.25,1.0,0.36996351885536605,0.0,0.4049908797138415
32,0x555555555176,BRANCH,64.0,38409.0,0.0,,2.0,1.0,0.25,1.0,0.39028727631164456,0.0,0.4100718190779111
33,0x555555555176,BRANCH,64.0,40409.0,0.0,,2.0,1.0,0.25,1.0,0.4106110337679231,0.0,0.41515275844198074
34,0x555555555176,BRANCH,64.0,42409.0,0.0,,2.0,1.0,0.25,1.0,0.4309347912242016,0.0,0.4202336978060504
35,0x555555555176,BRANCH,64.0,44409.0,0.0,,2.0,1.0,0.25,1.0,0.4512585486804801,0.0,0.42531463717012
36,0x555555555176,BRANCH,64.0,46409.0,0.0,,2.0,1.0,0.25,1.0,0.4715823061367586,0.0,0.43039557653418964
37,0x555555555176,BRANCH,64.0,48409.0,0.0,,2.0,1.0,0.25,1.0,0.4919060635930371,0.0,0.4354765158982593
38,0x555555555176,BRANCH,64.0,50409.0,0.0,,2.0,1.0,0.25,1.0,0.5122298210493156,0.0,0.4405574552623289
39,0x555555555176,BRANCH,64.0,52409.0,0.0,,2.0,1.0,0.25,1.0,0.5325535785055941,0.0,0.44563839462639854
40,0x555555555176,BRANCH,64.0,54409.0,0.0,,2.0,1.0,0.25,1.0,0.5528773359618726,0.0,0.45071933399046815
41,0x555555555176,BRANCH,64.0,56409.0,0.0,,2.0,1.0,0.25,1.0,0.5732010934181512,0.0,0.45580027335453777
42,0x555555555176,BRANCH,64.0,58409.0,0.0,,2.0,1.0,0.25,1.0,0.5935248508744296,0.0,0.4608812127186074
43,0x555555555176,BRANCH,64.0,60409.0,0.0,,2.0,1.0,0.25,1.0,0.6138486083307082,0.0,0.46596215208267705
44,0x555555555176,BRANCH,64.0,62409.0,0.0,,2.0,1.0,0.25,1.0,0.6341723657869867,0.0,0.47104309144674666
45,0x555555555176,BRANCH,64.0,64409.0,0.0,,2.0,1.0,0.25,1.0,0.6544961232432652,0.0,0.47612403081081633
