PC,OCC
0x5555555bd4be,246242122
0x55555559adcf,10822880
0x5555555776c8,1749427
0x555555577ddc,82424
0x5555555bcd40,77189204
0x5555555bd4c3,472312666
0x555555567547,651921
0x5555555bd4d3,143882368
0x5555555bcd3b,102695567
0x5555555bd4c9,3174578
0x5555555afb08,1839804
0x555555596dd0,5983631
0x5555555bd4d1,382538850
0x5555555bd4be,202009767
0x5555555bcd3b,128389208
0x5555555bd4cd,351767403
0x5555555bd2c4,2551699
0x5555555bcd3b,8179663
0x5555555bd4cd,158395325
0x5555555bd4ba,35086230
0x5555555bd2e2,3813322
0x5555555bd4c9,698697990
0x5555555be28c,2567240
0x5555555c4b6e,3312688
0x5555555bcd50,116020183
0x5555555bd4be,664835352
0x5555555bcd40,33435543
0x5555555bd4be,292950847
0x5555555bd4d3,516745114
0x5555555bd4c9,435740351
0x5555555afb13,1425872
0x5555555bd4cd,643626524
0x5555555be305,7930156
0x5555555afaf3,5704322
0x5555555741bc,1059533
0x5555555c4aae,3989253
0x5555555bd4d1,399065036
0x5555555bd4ba,333330463
0x555555573cc0,3515284
0x5555555bd4c3,393375216
0x5555555adb6e,13375
0x5555555bcd3b,49234553
0x5555555bd4be,64275246
0x5555555bd4c3,339489005
0x5555555be08d,21625261
0x5555555afada,6407578
0x5555555a2bc9,138955
0x5555555bd4ba,596962144
0x5555555bd4c9,235189341
0x5555555bd4c3,691370342
0x5555555bd4d3,354288058
0x5555555bd4d1,462798461
0x55555559ad78,650094
0x5555555bd4b6,24471241
0x5555555bd4e7,7680629
0x5555555bd4be,372570990
0x5555555bd4d1,634345705
0x5555555bcd50,14562533
0x5555555bd4d3,647052047
0x5555555be2c0,11791076
0x5555555bd4c3,391336635
0x5555555bd4d3,44430377
0x5555555bd4ab,3451807
0x5555555a1775,7736452
0x5555555bd4ba,424923590
0x5555555a2bc4,1251259
0x5555555bd4ba,20623655
0x555555577db9,965072
0x5555555bd4be,273946071
0x5555555bb249,2144699
0x5555555bcd3b,10847752
0x5555555c4a64,5694757
0x5555555a2bc4,6425993
0x5555555be097,17100659
0x5555555bd7bc,2745686
0x5555555bd4d3,582979499
0x5555555c4aa9,4854700
0x5555555bd4ba,30247562
0x5555555bd4ba,592166036
0x5555555bd4ba,56711639
0x5555555bd4c3,321904308
0x5555555be093,11400767
0x5555555bd4ba,21913008
0x5555555bd4be,9138220
0x5555555bd4be,191968582
0x5555555bcd40,121248004
0x5555555bd4c9,102344386
0x5555555bd4ba,112708847
0x5555555bd4ba,658295843
0x5555555bd4d1,21935265
0x5555555bd4d3,343971677
0x5555555bd4cd,641101945
0x5555555bd4cd,191452234
0x5555555afb00,4068386
0x5555555c4ab3,2286960
0x5555555bcd50,74315569
0x5555555bd4c3,726603703
0x5555555bd4d3,185918431
0x5555555bd4c9,366371145
0x5555555bd4d1,76012444
0x55555559adcc,12059682
0x5555555bd4d1,365911593
0x5555555bd4e4,4641184
0x5555555bd4d1,336423315
0x55555559a827,392979
0x5555555bcd46,124923486
0x5555555bd4ba,75224114
0x5555555bd4d3,307262331
0x5555555bd4d3,554779382
0x5555555a2bb0,3405897
0x5555555bd4c3,168290256
0x5555555bd4be,31654286
0x5555555bd4d1,21610705
0x5555555be315,12180387
0x555555566ce4,4994344
0x5555555bd4be,226135333
0x5555555bd4c3,505556090
0x5555555bd4be,78684529
0x5555555bd4d3,537236588
0x5555555afa90,3616484
0x5555555bd4c3,155716881
0x5555555bd4c9,190524796
0x5555555bcd4a,115688123
0x5555555bd4d1,59242991
0x5555555be2c5,11340968
0x5555555a1775,4116003
0x5555555bd4be,533379032
0x5555555bd4be,737761061
0x5555555bd4ba,453100388
