PC,OCC
0x5555555bd4be,201287409
0x5555555bd4d3,262704383
0x5555555bd4c9,124172190
0x5555555bd4d3,361197211
0x5555555bd4c3,15574872
0x5555555bd4c3,278930708
0x5555555bd4c9,502119881
0x5555555bd4c3,111324006
0x5555555afae9,5254099
0x5555555adb73,4485552
0x5555555a1779,8353822
0x5555555bd4cd,553175218
0x5555555bd4ba,647076554
0x5555555bd4d1,299934306
0x5555555bd4c3,238678763
0x5555555bcd46,98669414
0x5555555bd4ba,239698775
0x5555555bd4d1,199084765
0x5555555bd4d1,702038788
0x5555555bd4ba,441769142
0x5555555bd4c3,667306179
0x5555555bd4ba,197683756
0x5555555bcd3b,75184174
0x5555555bd4be,721833380
0x5555555bd4c3,418469627
0x5555555bcd50,135638848
0x5555555bd4d1,98877325
0x5555555bd4d1,663115397
0x5555555bd7c2,2834660
0x5555555bd4d1,400002690
0x5555555be315,4494788
0x5555555bd4d1,199582053
0x5555555bcd4e,39540495
0x5555555bcd46,90288978
0x5555555bd2c4,2012178
0x5555555bd4cd,714696796
0x5555555c3c7a,3918595
0x5555555bcd4e,103637107
0x5555555bd4c3,212727348
0x5555555bd4d1,503515955
0x5555555bd4c9,613332640
0x5555555bd4c3,380716066
0x5555555bd4cd,535005081
0x5555555bd4ba,338508276
0x5555555c3c78,5547101
0x5555555bd4c9,60680027
0x5555555bd4c9,373394514
0x5555555bd4d1,211638278
0x5555555bd4d3,26823688
0x5555555bd4d3,724013104
0x5555555bd4be,147711255
0x5555555bd4be,109545485
0x5555555bcd46,7452154
0x5555555781df,1184932
0x5555555bd4d3,16472871
0x5555555bd4ba,268363972
0x5555555bd4ba,522707913
0x5555555bd4c3,86667589
0x5555555bcd3b,111721424
0x5555555bd4cd,581611830
0x5555555a2bb8,2252332
0x555555567118,1223389
0x5555555bd4d3,711405131
0x5555555bd4c9,570471883
0x5555555bd4cd,437282610
0x5555555bcd4a,99010796
0x5555555bd4c9,296964108
0x5555555bd4cd,728745923
0x5555555bd4d3,438995099
0x5555555bcd37,83403526
0x55555559a793,667574
0x55555557c0dc,420667
0x5555555bcd50,129299498
0x5555555be2da,10887210
0x5555555bd4d1,373619701
0x5555555bcd3b,6364151
0x5555555bd4d1,562670882
0x55555559a822,267275
0x5555555bcd5d,3096238
0x5555555bd795,3894977
0x5555555be312,4014011
0x5555555bd4be,697145324
0x5555555afb11,3500489
0x555555574d5a,1019722
0x5555555bd4be,247621678
0x5555555bd4c9,361866947
0x5555555bd4d1,142847552
0x5555555bd2e2,2101830
0x5555555bd4be,504819905
0x5555555bd4be,311292054
0x5555555bcd37,106449665
0x5555555afaf8,8378996
0x5555555bd4be,58027007
0x5555555bcd4a,98008573
0x555555566cdb,2844403
0x5555555bd4c9,148736607
0x5555555bd4c3,683614875
0x5555555bd4d3,484525677
0x5555555bd2d1,2213622
0x5555555adb50,6263986
0x5555555bd4be,598894305
0x5555555bd4c3,543542596
0x5555555bd73f,2331664
0x5555555bd4d3,431864384
0x5555555bd4d3,708477281
0x5555555bb0c8,2439926
0x5555555bd4cd,574403408
0x555555597274,105588
0x555555567123,8175334
0x5555555bd4c3,316699761
0x5555555bd2ea,5387033
0x5555555bd4cd,129262615
0x5555555bd4be,410957310
0x5555555bd4c9,698389355
0x5555555bd4c3,48108056
0x5555555bcd4e,99858061
0x5555555bcd3b,58738401
0x5555555781f1,311834
0x5555555bcd50,11856733
0x5555555afac3,579886
0x5555555bd4ba,688810034
0x5555555c4a67,5867067
0x5555555bcd3b,8931546
0x5555555bd4be,619803627
0x5555555be088,4353948
0x5555555bd4cd,501495745
0x5555555bd4be,135657268
0x5555555a1779,9843779
0x5555555bcd37,90580167
0x5555555bd4cd,288044812
0x5555555bd4cd,194325695
0x5555555afb00,9690530
0x5555555bb0db,1236255
0x5555555bd4ba,119839842
0x5555555a1775,2564385
0x5555555bd7a0,4969591
0x5555555c3c73,3510845
0x5555555bcd4a,95851675
0x5555555afae9,7094606
0x5555555bd4cd,633409862
0x5555555bd4c9,462828506
0x555555567118,7840238
0x5555555bd4ba,534769529
0x5555555c4a7d,6055039
0x555555573cd9,4973539
0x555555573cc4,5378082
0x5555555bd4c9,579893899
0x5555555bd4d3,137161898
0x5555555bd4d1,738071845
0x555555577ee0,87103
0x5555555bcd4a,101685201
0x5555555bd4c3,363590127
0x5555555bd4d1,143538864
0x55555559adcf,9248788
0x5555555a1770,1971315
0x5555555adb5e,4661480
0x5555555bcd46,29635513
0x5555555bd2c4,5100291
0x5555555bcd37,89319568
0x5555555bcd3b,28690982
0x5555555bd4d3,500140147
0x5555555bd4ba,277205206
0x5555555bd4be,719828932
0x5555555bcd4e,110401197
0x5555555c4a60,2118322
0x5555555bd4d3,269117516
0x5555555bd4d3,261069262
0x5555555bd4e0,13305759
0x5555555bd4cd,697844265
0x5555555bcd40,52700135
0x5555555bd4d3,649978460
0x555555566cf0,1860602
0x5555555bd4d1,645895236
0x5555555adb6e,2556027
0x5555555bd4be,146575550
0x5555555bd4ba,374184872
0x5555555bd4d1,706166139
0x5555555bd4ba,352945592
0x5555555bd4a7,24635748
0x5555555bd4d1,690654011
0x5555555bcd50,83201391
0x5555555bd4c3,266266504
0x5555555bd4d1,332305606
0x5555555bd4da,19844236
0x5555555adb96,6880104
0x5555555bd2f9,3189912
0x5555555bd4cd,566528772
0x5555555bcd37,52271186
0x5555555c4a49,10729
0x5555555582c1,153284
0x5555555bd4ba,477464901
0x5555555bd4be,38449011
0x5555555bd4d3,10428757
0x5555555bd4d3,603266408
0x5555555bd4be,222111127
0x5555555bcd5d,4708844
0x5555555bd4ba,244916618
0x5555555bd4d3,177168024
0x5555555bd4cd,196085263
0x5555555bd4d3,476959083
0x5555555bcd50,70304190
0x5555555bd4cd,29864051
0x5555555bd4ba,104823829
0x5555555bd4cd,639201609
0x5555555bcd4a,70166300
0x5555555afb4a,228192
0x5555555bd4ba,715716593
0x5555555bd4d3,114749900
0x55555559ad7d,7902185
0x55555559a7c6,11580061
0x5555555bd4cd,339740710
0x5555555bd4ba,302031583
0x5555555bcd4a,37362150
0x5555555bd4c9,255166765
0x55555559a781,12361242
0x5555555be294,301432
0x5555555afab2,788945
0x5555555bd4d1,444441643
0x5555555bd4ba,431201429
0x555555597228,4463194
0x5555555bd4be,713818479
0x5555555bd4c3,16757168
0x5555555bd4be,630556288
0x5555555bd4d3,364838101
0x5555555bd2c4,3973085
0x5555555c4b54,4029562
0x5555555bd4be,551897580
0x5555555bd4d1,380373823
0x5555555bd4ba,621499386
0x5555555bd4d3,710259598
0x5555555bcd37,35807720
0x5555555bd4d1,612859440
0x5555555bd4cd,185308465
0x5555555bcd40,65949106
0x5555555bd4ba,349274185
0x5555555bd4c3,267582206
0x5555555bd4ba,653075058
0x5555555afad5,1396982
0x5555555bcd4e,137002214
0x5555555cf2d7,140178
0x5555555bd4ba,56020029
0x5555555bd4be,704637791
0x5555555be097,972770
0x555555577ec0,2571649
0x5555555c4a6e,2928799
0x5555555bd4d1,388321025
0x5555555bd4c3,347616956
0x5555555bcd50,68304492
0x5555555bd4a7,14346358
0x5555555bcd3b,20086116
0x5555555bd4cd,139420629
0x5555555bd4d3,585778605
0x5555555bd4c9,263491577
0x5555555bd4be,356012181
0x5555555bd4d1,137019804
0x5555555bd4ba,188207098
0x555555573f2d,365714
0x5555555bd4c9,423140895
0x5555555bcd3b,12085311
0x5555555bd2d7,5950089
0x5555555be2d3,2264141
0x5555555bd4c9,200746468
0x5555555bd4d1,263287784
0x5555555bcd4e,72656685
0x5555555bd4d1,169616869
0x5555555bd4c9,484756801
0x5555555bd4cd,312580562
0x5555555bd4c3,386711477
0x55555559a778,7204831
0x5555555bd4cd,132596033
0x5555555adb5e,4304863
0x555555577db9,655770
0x5555555a176b,750790
0x5555555bd4c9,584349242
0x5555555bcd4a,31197585
0x5555555bd4cd,448665211
0x5555555c4b54,1017936
0x5555555bd4be,280533208
0x5555555bd4d3,581515917
0x555555577ecf,1463885
0x5555555be2d3,2489204
0x5555555be2da,6214147
0x5555555bd4d3,587607428
0x555555567118,6096585
0x55555559adc8,4853762
0x5555555bd2fd,4251910
0x5555555bd4c3,477850363
0x5555555bd7c0,7173234
0x5555555bd4cd,173752295
0x5555555bcd40,34174084
0x5555555bd4be,354771901
0x5555555bd4cd,110713005
0x5555555bd4b8,18763568
0x5555555bd4c9,42993666
0x5555555bd4ba,648169110
0x5555555bd4c3,280468680
0x5555555bd4ba,331901352
0x5555555bd4c9,616907865
0x5555555bcd3b,10833197
0x5555555bd4be,419687151
0x5555555bd4be,379505889
0x5555555a2bc7,5579628
0x555555566ce4,1772810
0x5555555bd4cd,482247615
0x5555555bd4c3,88786636
0x5555555bd4d1,701263105
0x5555555bd4be,171049713
0x5555555bd4ba,326754259
0x5555555bd4d3,396213490
0x5555555bcd46,135902730
0x5555555bd4ab,5941779
0x5555555bd4d3,339385604
0x5555555bd4d1,108437383
0x5555555bcd4e,108342792
0x5555555bd4ba,293187076
0x555555596ddb,2514479
0x5555555bd4cd,100587473
0x5555555bd4be,644026684
0x5555555bd4cd,56598677
0x5555555bcd40,90489652
0x5555555bd4c3,180749415
0x555555574950,1906693
0x5555555bd4ba,165902700
0x5555555bd4cd,303416486
0x5555555bd4e7,676783
0x5555555bd4be,587132032
0x5555555bd4be,665587819
0x5555555bd4d1,712950805
0x5555555bd4c3,718520942
0x5555555bd4ba,159428605
0x5555555bb0df,241010
0x5555555bd4d1,725722351
0x5555555bd4c3,710021667
0x5555555bd4d1,407297643
0x5555555bd4c3,171927302
0x5555555be09a,1568556
0x5555555afb04,6028051
0x5555555bd4d1,66803067
0x5555555bd4cd,195164741
0x555555573cdd,5488619
0x5555555bcd46,73710759
0x55555559adcf,1232677
0x5555555afade,10858343
0x5555555bcd50,95750886
0x5555555be300,3288730
0x5555555bd4d3,517782114
0x5555555bcd4e,56590979
0x5555555bd4ba,293697143
0x5555555bd4be,137200041
0x5555555bd4cd,673499809
0x5555555bd4c9,356927821
0x5555555bd2ec,1012040
0x5555555bd4c9,404437023
0x5555555bd4be,595956733
0x5555555bd4ba,265774216
0x5555555bd4d3,39030577
0x5555555bd4ba,264562023
0x55555557c090,1000887
0x5555555afaa8,6378490
0x5555555bd4c9,512375613
0x5555555bd4c9,436239509
0x5555555bd4be,79463942
0x5555555bd4d3,229838959
0x5555555bd4be,316444679
0x5555555bcd40,39025880
0x5555555bd4d3,161673077
0x5555555bd4c9,328886630
0x5555555bcd4a,109564956
0x5555555bd4c3,406245980
0x5555555bd4ba,434064504
0x5555555bd4c9,437080474
0x5555555bd4c3,621034892
0x55555556751f,4440989
0x5555555bd4be,534099367
0x5555555bcd40,76378500
0x5555555bd4e0,10360222
0x5555555bd4d1,451253899
0x5555555bd4ba,693228494
0x5555555c4ab7,4477348
0x5555555afaf6,12234592
0x5555555be2c0,11263533
0x5555555bcd3b,578080
0x5555555bd4c3,138685090
0x5555555bcd3b,118439172
0x5555555afae5,102772
0x5555555bd4be,420525800
0x5555555bcd4a,63277847
0x5555555bd4c9,713755396
0x5555555bd4c9,730340055
0x5555555c3c78,2627581
0x5555555bcd4e,50359013
0x5555555bd4cd,458017268
0x5555555bd4d3,558256972
0x5555555749b1,143857
0x5555555bd4c3,96152558
0x5555555bd4c9,549599199
0x5555555bd4c9,64069954
0x555555574d29,3415927
0x5555555afaa1,4876918
0x5555555bd4be,318740465
0x555555556b80,81321
0x5555555bd4d1,566078874
0x5555555bd4c9,472621327
0x5555555be300,6807909
0x5555555bd4ba,413702064
0x555555567110,1531171
0x5555555bd4d1,396390898
0x5555555bcd3b,22319847
0x5555555be093,4688494
0x5555555a1766,22167264
0x5555555bd4ba,344446029
0x5555555afa85,252230
0x5555555bd4be,17717309
0x5555555bd4ba,613215604
0x5555555bd4be,707334480
0x5555555bd4be,355847376
0x5555555bd4ba,20874793
0x5555555be088,5765191
0x5555555bd4be,66939176
0x5555555bd4ba,461236640
0x5555555bd4c3,25836541
0x555555573f20,826366
0x5555555bd7ae,7493328
0x55555557c0a7,75833
0x5555555bd4be,420376804
0x5555555bd4c9,203306281
0x5555555be315,6838977
0x5555555bd2d1,1090387
0x5555555c4b54,2004696
0x555555556bf8,95279
0x5555555bd4d1,119772391
0x5555555bd4d1,158047414
0x5555555bd4d3,651102992
0x555555567543,477615
0x5555555bd4c9,618009639
0x5555555c4a81,1164944
0x5555555bd2e6,8396141
0x5555555bd4be,120715896
0x5555555bd4c9,101811761
0x5555555bd4c9,319637849
0x5555555bd4c9,25910402
0x5555555781db,458417
0x5555555bd4be,643627977
0x5555555bd4c9,376170264
0x5555555bd4d3,4902689
0x5555555bd4c3,434062934
0x5555555bd4d3,256377258
0x5555555bcd40,66363713
0x5555555bd4be,96214613
0x5555555bd4d3,225206560
0x5555555bd4ba,652799636
0x5555555bd4c3,661261903
0x5555555be097,3034455
0x5555555bd4be,80561134
0x5555555bd4be,424025949
0x5555555bd4d1,575984789
0x5555555bd4c3,456333134
0x5555555bd4c3,562719652
0x5555555bcd40,126167235
0x5555555bd4c3,719527393
0x5555555bd4ba,97012933
0x5555555bd4cd,254786869
0x5555555bd4c9,712643197
0x5555555afacc,1426161
0x5555555bcd3b,118249835
0x5555555bcd3b,56058008
0x555555567133,289801
0x55555559a784,12606355
0x5555555bd4b8,20575732
0x5555555bd4d3,181559571
0x5555555adb5a,1501227
0x5555555bcd46,58402279
0x5555555bd4d3,90449137
0x5555555bd4b6,10191748
0x5555555bd4d3,342581071
0x5555555bd4ba,543384969
0x5555555adb82,12008789
0x5555555bd4be,540211388
0x5555555bd4cd,699632725
0x55555557c053,464823
0x5555555bcd40,122013859
0x5555555bd4ba,217422481
0x555555574974,3680534
0x5555555bd4d1,700151037
0x5555555bcd3b,133707752
0x5555555bd4c9,403226605
0x5555555bd4d3,34634893
0x5555555bd4d1,241800625
0x5555555bd4ba,501683329
