PC,OCC,RESULT
0x5555555bd4be,246242122,CORRECT
0x55555559adcf,10822880,NOINJECT
0x5555555776c8,1749427,CRASH
0x555555577ddc,82424,CRASH
0x5555555bcd40,77189204,CORRECT
0x5555555bd4c3,472312666,CORRECT
0x555555567547,651921,CORRECT
0x5555555bd4d3,143882368,NOINJECT
0x5555555bcd3b,102695567,SDC
0x5555555bd4c9,3174578,CRASH
0x5555555afb08,1839804,SDC
0x555555596dd0,5983631,CORRECT
0x5555555bd4d1,382538850,SDC
0x5555555bd4be,202009767,CORRECT
0x5555555bcd3b,128389208,CORRECT
0x5555555bd4cd,351767403,CORRECT
0x5555555bd2c4,2551699,SDC
0x5555555bcd3b,8179663,CORRECT
0x5555555bd4cd,158395325,CORRECT
0x5555555bd4ba,35086230,CRASH
0x5555555bd2e2,3813322,CRASH
0x5555555bd4c9,698697990,SDC
0x5555555be28c,2567240,NOINJECT
0x5555555c4b6e,3312688,NOINJECT
0x5555555bcd50,116020183,NOINJECT
0x5555555bd4be,664835352,CORRECT
0x5555555bcd40,33435543,CORRECT
0x5555555bd4be,292950847,CORRECT
0x5555555bd4d3,516745114,NOINJECT
0x5555555bd4c9,435740351,CRASH
0x5555555afb13,1425872,CRASH
0x5555555bd4cd,643626524,CORRECT
0x5555555be305,7930156,SDC
0x5555555afaf3,5704322,CRASH
0x5555555741bc,1059533,CRASH
0x5555555c4aae,3989253,NOINJECT
0x5555555bd4d1,399065036,CORRECT
0x5555555bd4ba,333330463,SDC
0x555555573cc0,3515284,CRASH
0x5555555bd4c3,393375216,CORRECT
0x5555555adb6e,13375,CORRECT
0x5555555bcd3b,49234553,CORRECT
0x5555555bd4be,64275246,CORRECT
0x5555555bd4c3,339489005,CORRECT
0x5555555be08d,21625261,NOINJECT
0x5555555afada,6407578,CRASH
0x5555555a2bc9,138955,CORRECT
0x5555555bd4ba,596962144,CRASH
0x5555555bd4c9,235189341,CRASH
0x5555555bd4c3,691370342,CORRECT
0x5555555bd4d3,354288058,NOINJECT
0x5555555bd4d1,462798461,CORRECT
0x55555559ad78,650094,CRASH
0x5555555bd4b6,24471241,CORRECT
0x5555555bd4e7,7680629,NOINJECT
0x5555555bd4be,372570990,CORRECT
0x5555555bd4d1,634345705,SDC
0x5555555bcd50,14562533,NOINJECT
0x5555555bd4d3,647052047,NOINJECT
0x5555555be2c0,11791076,CORRECT
0x5555555bd4c3,391336635,CORRECT
0x5555555bd4d3,44430377,NOINJECT
0x5555555bd4ab,3451807,SDC
0x5555555a1775,7736452,SDC
0x5555555bd4ba,424923590,CRASH
0x5555555a2bc4,1251259,SDC
0x5555555bd4ba,20623655,CORRECT
0x555555577db9,965072,NOINJECT
0x5555555bd4be,273946071,CORRECT
0x5555555bb249,2144699,NOINJECT
0x5555555bcd3b,10847752,CORRECT
0x5555555c4a64,5694757,CORRECT
0x5555555a2bc4,6425993,SDC
0x5555555be097,17100659,SDC
0x5555555bd7bc,2745686,NOINJECT
0x5555555bd4d3,582979499,NOINJECT
0x5555555c4aa9,4854700,CRASH
0x5555555bd4ba,30247562,CRASH
0x5555555bd4ba,592166036,CRASH
0x5555555bd4ba,56711639,CORRECT
0x5555555bd4c3,321904308,SDC
0x5555555be093,11400767,CRASH
0x5555555bd4ba,21913008,CORRECT
0x5555555bd4be,9138220,CORRECT
0x5555555bd4be,191968582,CORRECT
0x5555555bcd40,121248004,SDC
0x5555555bd4c9,102344386,CRASH
0x5555555bd4ba,112708847,CRASH
0x5555555bd4ba,658295843,CRASH
0x5555555bd4d1,21935265,CORRECT
0x5555555bd4d3,343971677,NOINJECT
0x5555555bd4cd,641101945,CORRECT
0x5555555bd4cd,191452234,CORRECT
0x5555555afb00,4068386,SDC
0x5555555c4ab3,2286960,CRASH
0x5555555bcd50,74315569,NOINJECT
0x5555555bd4c3,726603703,CORRECT
0x5555555bd4d3,185918431,NOINJECT
0x5555555bd4c9,366371145,SDC
0x5555555bd4d1,76012444,SDC
0x55555559adcc,12059682,CORRECT
0x5555555bd4d1,365911593,SDC
0x5555555bd4e4,4641184,SDC
0x5555555bd4d1,336423315,SDC
0x55555559a827,392979,CRASH
0x5555555bcd46,124923486,CRASH
0x5555555bd4ba,75224114,SDC
0x5555555bd4d3,307262331,NOINJECT
0x5555555bd4d3,554779382,NOINJECT
0x5555555a2bb0,3405897,CORRECT
0x5555555bd4c3,168290256,CORRECT
0x5555555bd4be,31654286,CORRECT
0x5555555bd4d1,21610705,SDC
0x5555555be315,12180387,NOINJECT
0x555555566ce4,4994344,CORRECT
0x5555555bd4be,226135333,CORRECT
0x5555555bd4c3,505556090,CORRECT
0x5555555bd4be,78684529,CORRECT
0x5555555bd4d3,537236588,NOINJECT
0x5555555afa90,3616484,CRASH
0x5555555bd4c3,155716881,CORRECT
0x5555555bd4c9,190524796,CRASH
0x5555555bcd4a,115688123,CORRECT
0x5555555bd4d1,59242991,SDC
0x5555555be2c5,11340968,CORRECT
0x5555555a1775,4116003,SDC
0x5555555bd4be,533379032,CORRECT
0x5555555bd4be,737761061,CORRECT
0x5555555bd4ba,453100388,CRASH
0x5555555bd4c9,527078878,CRASH
0x5555555bd4c9,166248854,SDC
0x5555555afa95,4842118,CRASH
0x5555555bcd2a,2904567,SDC
0x5555555bd4be,366636950,CORRECT
0x5555555bd4ba,619267684,CRASH
0x5555555bcd37,66600491,SDC
0x5555555bd4cd,100681195,CORRECT
0x5555555bd4be,482481679,CORRECT
0x5555555bd4be,478462738,SDC
0x5555555bd4c3,87939383,CORRECT
0x5555555bd4cd,702214612,CORRECT
0x5555555bd4c9,143951648,SDC
0x5555555bd78a,1628291,SDC
0x5555555bd4be,658128183,CORRECT
0x5555555bd4d1,255725485,CORRECT
0x5555555afaa5,1817415,CRASH
0x5555555bd4c3,559993800,CORRECT
0x555555573f30,972454,CORRECT
0x5555555bcd4e,74804271,SDC
0x5555555bd4c9,458003825,SDC
0x5555555bd4c3,112885928,CORRECT
0x5555555bb245,1662041,CORRECT
0x5555555bd4be,734079519,CORRECT
0x5555555bd4be,3281625,CORRECT
0x5555555bd4d3,48739883,NOINJECT
0x5555555bd4d3,324613583,NOINJECT
0x5555555bd4c3,54642879,CORRECT
0x5555555afb04,866175,NOINJECT
0x5555555adb50,4772082,SDC
0x5555555bd4c9,149501781,CORRECT
0x5555555bcd46,347912,SDC
0x55555557c090,79337,CORRECT
0x5555555bd4be,47100326,CORRECT
0x5555555bd4ba,711600134,CRASH
0x5555555bd4be,346249591,CORRECT
0x5555555bd4d1,286465456,SDC
0x5555555bd4d1,483548535,CORRECT
0x5555555bd4c9,625170984,SDC
0x5555555bd4c3,180137156,CORRECT
0x5555555bd4c3,642807104,CORRECT
0x5555555bcd4a,38924170,CORRECT
0x5555555bd4ba,719449611,CRASH
0x5555555bd4d1,28281131,SDC
0x5555555bd4c3,316201846,CORRECT
0x5555555a177c,2888213,NOINJECT
0x5555555be2c0,11026455,CORRECT
0x5555555bd4c9,522703000,SDC
0x5555555bcd4e,114925694,SDC
0x5555555c4b6b,4573876,SDC
0x5555555bd4c9,406800791,SDC
0x5555555bcd4e,76378594,SDC
0x5555555749b4,1196629,CRASH
0x5555555bcd40,99313380,CORRECT
0x5555555bcd4e,116389263,SDC
0x5555555bd4c3,40814251,CORRECT
0x5555555bd4d3,512820025,NOINJECT
0x5555555bd4c3,691830879,CORRECT
0x555555596de3,4465621,SDC
0x5555555bd4c3,64059087,CORRECT
0x5555555bd4ba,379235580,CRASH
0x5555555bd4d3,184328757,NOINJECT
0x5555555bd4cd,342725665,CORRECT
0x5555555bd4c3,337021257,CORRECT
0x5555555776c8,2196924,CRASH
0x5555555bd4d3,655733651,NOINJECT
0x5555555bd4c9,177480887,CRASH
0x5555555bd4d1,548522406,SDC
0x5555555bd4d5,27741734,CRASH
0x5555555bd4ba,719142418,CRASH
0x555555576ce6,222385,CRASH
0x55555559ad86,650843,CRASH
0x5555555bd4c3,604049765,CORRECT
0x5555555bd4d1,605688363,CORRECT
0x5555555bd4cd,676663207,CORRECT
0x5555555bd4d1,351601601,SDC
0x5555555bcd4a,121765558,SDC
0x5555555bcd37,73048529,CRASH
0x5555555bd4c3,536682935,CORRECT
0x5555555be300,6525314,CORRECT
0x5555555bd4d1,711462389,CORRECT
0x5555555bd4c9,423873031,SDC
0x5555555bd4c9,151743784,CRASH
0x5555555bd4c3,78640350,CORRECT
0x5555555bcd4e,27511105,SDC
0x5555555bd4c3,570890124,SDC
0x5555555be088,2373275,CORRECT
0x5555555afb15,2402113,SDC
0x5555555bd4be,376211376,CORRECT
0x5555555afb04,5029305,NOINJECT
0x5555555be2c0,11553712,CORRECT
0x5555555c4aa9,3068021,CRASH
0x5555555bd4ba,255248425,CRASH
0x5555555bcd37,117121163,CRASH
0x5555555bd4c3,234173782,SDC
0x5555555bd4d1,281236102,SDC
0x5555555bd4e7,20684410,NOINJECT
0x5555555be09a,13837280,NOINJECT
0x5555555bcd4e,30703518,SDC
0x5555555bd4ba,662272533,CRASH
0x5555555bd4c9,405121247,CORRECT
0x5555555bd4c9,337626415,CRASH
0x5555555bd4cd,122070771,SDC
0x5555555bcd4a,114667621,CORRECT
0x5555555bd4ba,491496461,SDC
0x5555555bd4d3,70634992,NOINJECT
0x5555555bd4cd,355601979,CORRECT
0x5555555bd4da,19978693,NOINJECT
0x5555555781ad,110616,SDC
0x555555566ce4,3936474,CORRECT
0x5555555bd4d1,183363682,CORRECT
0x5555555bcd64,3017518,NOINJECT
0x5555555bd4d3,680000245,NOINJECT
0x5555555bd4c3,720506934,CORRECT
0x5555555bd4d1,156750051,SDC
0x5555555bd4be,257614346,CORRECT
0x5555555bd4d3,255214414,NOINJECT
0x5555555bdff0,2877272,NOINJECT
0x5555555bcd40,46037084,SDC
