PC,OCC,RESULT
0x555555573c06,41713,CORRECT
0x55555556644e,37384,NOINJECT
0x555555564393,296,CRASH
0x55555557058a,88739,CRASH
0x555555566094,14640,CORRECT
0x55555555eefd,51860,CRASH
0x555555578435,841450,CRASH
0x5555555690f1,33094,CORRECT
0x5555555704ac,56679,CRASH
0x555555578527,1178620,CRASH
0x55555557001a,41996,CORRECT
0x555555567308,9765,CORRECT
0x55555556fd6a,45786,CRASH
0x5555555702c7,12552,CRASH
0x55555555dfcd,52804,CRASH
0x55555556a4fb,618922,CRASH
0x55555557376c,71965,CORRECT
0x555555565146,25306,CRASH
0x555555565c8f,7529,CRASH
0x5555555713ab,79622,CRASH
0x555555571024,17650,CORRECT
0x5555555638c1,32861,CRASH
0x5555555748b6,21415,CRASH
0x55555557178b,121724,CORRECT
0x55555556faee,191438,SDC
0x555555570a09,186238,SDC
0x555555562f2f,20907,CRASH
0x55555556dd0d,14866,CRASH
0x55555555ef78,34685,CRASH
0x5555555697f0,4527,SDC
0x555555567398,5929,SDC
0x5555555601b8,45261,CRASH
0x555555574613,4851,SDC
0x55555556f624,1177362,CRASH
0x555555570f31,39897,SDC
0x555555574010,37758,CRASH
0x55555556f7ba,156302,CORRECT
0x555555571fe1,101730,CRASH
0x55555557244c,4322,SDC
0x55555556b71b,1046,CRASH
0x55555556f761,123600,CORRECT
0x555555561fd3,821,SDC
0x5555555662d5,5189,SDC
0x5555555696f4,827,CORRECT
0x55555555e5c7,342457,CRASH
0x55555556f6cd,74739,SDC
0x555555571360,39517,CORRECT
0x555555574aab,53501,CRASH
0x555555569c5a,29881,NOINJECT
0x555555563f91,17596,SDC
0x55555555807b,76761,CORRECT
0x55555557a46d,164853,CRASH
0x55555557164c,27439,SDC
0x555555574cb0,25948,CRASH
0x555555565146,43410,SDC
0x5555555605dc,20735,SDC
0x555555570b42,120120,CORRECT
0x555555565676,4606,CRASH
0x55555557a407,134801,CORRECT
0x555555570170,135852,CRASH
0x555555577799,46823,CRASH
0x55555557226a,25569,CRASH
0x55555555e678,53720,CORRECT
0x55555556a51d,465448,CRASH
0x555555578542,1050280,SDC
0x555555570efb,152778,CORRECT
0x55555556a517,242915,CRASH
0x555555570d00,187586,CORRECT
0x55555556f54e,1546936,CRASH
0x555555557f3d,100963,SDC
0x55555555f8e2,2209,CRASH
0x555555572d14,9774,CORRECT
0x55555556699b,50573,CORRECT
0x555555563f25,10842,CRASH
0x55555556ce1e,1602,CORRECT
0x55555557154b,152479,CRASH
0x55555556f506,1272396,CRASH
0x55555556aca7,2150,CRASH
0x555555566e4b,5496,CRASH
0x55555556f52e,274335,CRASH
0x55555557794f,53800,CORRECT
0x555555574d8e,50594,SDC
0x555555570b6a,193148,CRASH
0x55555556f9b3,81311,NOINJECT
0x555555574e68,15919,SDC
0x555555561385,15654,CRASH
0x5555555671eb,10033,CORRECT
0x55555557210d,10347,NOINJECT
0x55555557a610,15928,CORRECT
0x555555568800,38483,CORRECT
0x55555557a596,89539,CRASH
0x55555556fb11,134609,SDC
0x555555571f34,11816,NOINJECT
0x555555562d66,46874,SDC
0x55555556bc61,53839,CORRECT
0x55555556bd17,3351,SDC
0x555555564e16,88739,SDC
0x555555573ebd,56607,CRASH
0x55555557517f,24512,CRASH
0x555555571d0b,86046,SDC
0x55555556e4e2,23099,CORRECT
0x555555573404,270,CRASH
0x5555555723de,165459,SDC
0x55555555e59f,49684,SDC
0x55555555e725,1911,CRASH
0x55555556a7da,9605,SDC
0x55555556fed6,153600,SDC
0x555555572888,5424,NOINJECT
0x5555555722ce,126744,NOINJECT
0x5555555749b6,2027,CRASH
0x55555556a520,309194,SDC
0x555555573fa6,1893,CRASH
0x555555571811,157498,CORRECT
0x555555577dac,3326,CRASH
0x555555576fd1,48546,CRASH
0x5555555721fa,60613,NOINJECT
0x55555556f51a,806932,CRASH
0x55555556a48b,659520,CORRECT
0x5555555784ca,1157531,CRASH
0x555555570d9b,110878,CRASH
0x555555564d2c,28295,CRASH
0x555555557fc5,30190,CORRECT
0x55555556f821,159709,CORRECT
0x5555555769c4,31471,CRASH
0x55555556ad02,10128,CORRECT
0x555555571787,116982,CRASH
0x555555568892,10276,SDC
0x555555577815,13045,SDC
0x55555556c607,21253,CORRECT
0x555555574db2,26440,SDC
0x555555572431,93594,CRASH
0x555555573524,52922,CORRECT
0x555555570f62,128340,CORRECT
0x5555555664a5,19145,CRASH
0x55555557a5fc,417176,CORRECT
0x555555578524,1562494,SDC
0x55555555e5f3,451348,CRASH
0x55555556f543,1586450,CRASH
0x555555572203,150536,CORRECT
0x5555555704b0,68468,NOINJECT
0x5555555601cc,116859,SDC
0x5555555720c0,21086,SDC
0x555555571811,158017,CORRECT
0x5555555721ed,183603,CORRECT
0x555555569545,28017,CORRECT
0x555555570160,134506,SDC
0x55555556d981,2298,CRASH
0x55555556f5d5,173457,CRASH
0x55555557844a,368138,CRASH
0x55555556887a,19329,CRASH
0x55555557158e,143068,CORRECT
0x5555555643e5,6705,CRASH
0x55555555dff5,74820,CRASH
0x55555556fab4,18706,SDC
0x5555555784c0,737965,CRASH
0x555555570676,41804,CORRECT
0x555555577677,4855,CRASH
0x55555557096f,86607,NOINJECT
0x55555555f2ed,5807,SDC
0x555555578473,1397491,SDC
0x55555556d4af,12240,SDC
0x555555578413,861370,CRASH
0x5555555708d4,156728,CRASH
0x5555555784b3,898425,CRASH
0x555555578539,1367402,SDC
0x555555566f3f,32312,CORRECT
0x5555555706f1,183116,CORRECT
0x5555555677b7,4154,SDC
0x5555555721df,114333,SDC
0x555555571450,146283,CORRECT
0x55555555f05b,29165,CRASH
0x555555572297,33443,CORRECT
