PC,OCC,RESULT
0x555555556f01,43903253,CORRECT
0x555555556e7c,94716001,CORRECT
0x555555558d1c,556824,CRASH
0x5555555565bd,72153020,CORRECT
0x555555556e37,73129678,CORRECT
0x555555556efa,26789406,CRASH
0x555555556e20,79452162,CORRECT
0x55555555e51a,2470195,NOINJECT
0x555555556f13,37934123,CORRECT
0x55555555fdeb,3650499,CORRECT
0x555555556be2,77892152,CRASH
0x555555556a77,71340374,CORRECT
0x55555555bb30,167036057,NOINJECT
0x555555556422,11971194,CRASH
0x555555556a7d,78598889,CRASH
0x55555555ccc3,517461,CRASH
0x55555555654e,33388133,CORRECT
0x555555556a16,12484594,CORRECT
0x555555556ed5,91336155,CORRECT
0x55555555bb2a,188740876,NOINJECT
0x555555556c13,48777561,CORRECT
0x5555555568f8,14752718,CRASH
0x555555556635,51190879,CRASH
0x555555556ed5,29751070,CORRECT
0x555555556efc,93800438,CORRECT
0x555555556b0b,175355,CRASH
0x55555555660f,97736225,CORRECT
0x555555556a8d,100799770,NOINJECT
0x7fffe43fa87d,808765,NOINJECT
0x55555555fde3,665431,CRASH
0x555555556f0b,36917717,CORRECT
0x555555556ec7,77861418,CORRECT
0x555555556a40,82735058,CORRECT
0x55555555653d,184432675,CORRECT
0x555555556752,36116076,CORRECT
0x555555556efc,108909674,CORRECT
0x55555555667c,78483464,CORRECT
0x555555558f71,2955336,CORRECT
0x555555556edf,17166353,CORRECT
0x55555555bb32,741505,CRASH
0x5555555569e0,2620,SDC
0x555555556e97,31777424,CORRECT
0x555555556a70,59836578,CORRECT
0x555555556ed9,32053545,CORRECT
0x55555555b7d4,10252538,CORRECT
0x55555555c9ca,698450,CORRECT
0x5555555568f8,11073294,CRASH
0x55555555654e,52272715,CORRECT
0x55555555e533,3905168,CORRECT
0x55555555bb2d,379122055,CORRECT
0x5555555565a1,41327928,CRASH
0x555555556f2b,66580470,NOINJECT
0x555555556ed9,71804516,CORRECT
0x55555555bb20,91217571,CRASH
0x55555555bb20,377527044,CRASH
0x5555555565d2,70387362,CORRECT
0x5555555601a1,3389498,NOINJECT
0x555555556968,1940540,CRASH
0x555555556e9b,55222755,CRASH
0x55555555bb20,101346461,CRASH
0x55555555e4f2,12581967,NOINJECT
0x55555555bb20,229628024,CRASH
0x555555556a86,120350563,CORRECT
0x55555555667c,42805193,CORRECT
0x55555555bb2d,469078580,CORRECT
0x555555556a51,35031396,NOINJECT
0x55555555bb2d,187475232,SDC
0x555555556742,564596,SDC
0x555555556a16,20370027,CORRECT
0x555555556b39,226849,SDC
0x555555560168,17203725,NOINJECT
0x5555555565c4,17350439,CORRECT
0x555555556c0f,96048909,CRASH
0x55555555bb30,182675333,NOINJECT
0x555555556625,71153929,CORRECT
0x555555558c8c,2535434,CORRECT
0x55555555bad1,9269693,CORRECT
0x555555556546,151692822,NOINJECT
0x555555556551,117993609,NOINJECT
0x55555555671d,10320835,CORRECT
0x555555556a77,114741102,CORRECT
0x55555555bb20,407914768,CRASH
0x55555555664a,12495798,NOINJECT
0x55555555e521,29798973,CORRECT
0x555555556ea6,94598211,CORRECT
0x555555556767,389734,NOINJECT
0x555555556e0d,82157008,CORRECT
0x555555558c94,11847857,CORRECT
0x555555556ec7,70907159,CORRECT
0x5555555568e6,855754,CRASH
0x55555555bb2d,218202552,SDC
0x55555555654a,82250692,CRASH
0x555555556a86,16249892,CORRECT
0x5555555565d6,52494395,NOINJECT
0x555555556533,163059108,CORRECT
0x555555556656,2116165,NOINJECT
0x555555556551,58928505,NOINJECT
0x55555556018e,15953276,NOINJECT
0x555555556533,80754109,CRASH
0x555555556e1d,82607868,CORRECT
0x555555556eb4,71077407,CRASH
0x555555556e51,13174522,CRASH
0x55555555664a,73794431,NOINJECT
0x555555556656,49677330,NOINJECT
0x55555555654e,21001734,SDC
0x555555556f08,35755223,CRASH
0x555555556a4e,96703043,CORRECT
0x55555555664a,58125616,NOINJECT
0x555555556e61,17962771,CRASH
0x555555556a81,110618125,NOINJECT
0x55555555bb05,4153520,NOINJECT
0x555555557192,313673,CORRECT
0x555555556ec0,17016993,CRASH
0x555555556e86,73364007,CRASH
0x555555556efa,107493379,CORRECT
0x555555556a22,30608572,CRASH
0x55555555b7d9,6585678,NOINJECT
0x555555556ece,49261750,CRASH
0x555555556bf6,67280199,CORRECT
0x55555555663b,26606666,CORRECT
0x555555556678,40527597,CORRECT
0x555555556a40,116396777,CORRECT
0x5555555565ec,37654118,CORRECT
0x555555556a38,70407737,CRASH
0x555555556a4e,35412248,CORRECT
0x5555555565bd,24201521,CORRECT
0x555555556541,67353616,SDC
0x55555555652f,216468315,CORRECT
0x555555558caf,9272757,CRASH
0x55555555fe69,5305937,CORRECT
0x555555556a86,19851654,CORRECT
0x555555556ec7,17535810,CORRECT
0x5555555567ae,4382432,NOINJECT
0x55555555653d,114044581,CORRECT
0x555555556708,61462836,CORRECT
0x55555555658b,29447932,CORRECT
0x55555555d5a1,49799,CRASH
0x555555556666,47528800,NOINJECT
0x55555555bb27,360101543,CORRECT
0x55555555e517,18807029,CORRECT
0x55555555660d,48349853,CORRECT
0x55555555e56e,790142,CORRECT
0x55555555670c,34412331,CORRECT
0x555555556e28,40884521,CORRECT
0x555555558d1f,7027753,CRASH
0x555555556e4d,27817148,CORRECT
0x55555555c2a2,57689,CRASH
0x555555556ec7,18821860,CORRECT
0x5555555563bf,7079588,NOINJECT
0x55555555663d,33641184,CORRECT
0x555555556f16,26666657,CORRECT
0x555555556666,10457347,NOINJECT
0x55555555bb2a,538429737,NOINJECT
0x555555556e8c,5383403,CORRECT
0x555555556f1e,46502364,CORRECT
0x555555556a77,101401385,CORRECT
0x555555556f0b,109104021,CORRECT
0x555555556544,144664185,CORRECT
0x555555558c58,2385067,CORRECT
0x555555556e72,81010549,CORRECT
0x555555556a1a,10992666,CRASH
0x55555555bb20,45489744,CRASH
0x55555555bb27,193397099,CORRECT
0x555555556e24,51526656,CORRECT
0x555555556a77,88846360,CORRECT
0x555555556e32,100840550,CORRECT
0x555555556900,20671422,CRASH
0x555555556e32,33674049,CORRECT
0x55555555fe57,368801,SDC
0x55555555baf3,12526008,NOINJECT
0x55555555653a,78111488,CRASH
0x55555555bb27,114881885,CRASH
0x555555558f52,5083602,NOINJECT
0x555555556f24,40098881,CORRECT
0x5555555571ae,1203259,NOINJECT
0x5555555565d2,16497353,CORRECT
0x555555556eb8,92642033,CORRECT
0x555555556ed9,92043984,CORRECT
0x55555555653a,150135734,CORRECT
0x555555556e49,62893952,CORRECT
0x555555556a70,24035576,CRASH
0x55555555bb20,567260420,CRASH
0x555555556599,54649656,CRASH
0x555555556a70,89842686,CORRECT
0x555555556bfc,203295983,NOINJECT
0x555555556ff6,562209,NOINJECT
0x55555555b7a1,684970,CORRECT
0x555555556e6e,45193511,CORRECT
0x555555557046,770211,CORRECT
0x555555556546,104548518,NOINJECT
0x555555556a81,12020323,NOINJECT
0x555555556656,44140523,NOINJECT
0x555555556e3c,72992688,CRASH
0x55555555bab8,282120,CRASH
0x555555556656,54896944,NOINJECT
0x55555555666b,6867640,NOINJECT
0x55555555674a,46922827,CORRECT
0x555555556656,73750351,NOINJECT
0x555555556a22,31025334,CRASH
0x55555555659f,44211355,CORRECT
0x555555556a77,12536210,SDC
0x555555556f19,28178441,CORRECT
0x555555556f1b,6793771,CORRECT
0x55555555bb30,139386508,NOINJECT
0x555555556666,50936628,NOINJECT
0x55555555e7ae,4225047,CORRECT
0x555555556bfa,185811165,CORRECT
0x55555555665e,60662353,NOINJECT
0x5555555565c9,62176219,CORRECT
0x55555555bb30,531718561,NOINJECT
0x55555555653a,107335332,CORRECT
0x555555556ed9,71630766,CORRECT
0x5555555565d2,26621141,CORRECT
0x555555556e7c,26576017,CORRECT
0x5555555565e0,67341358,CORRECT
0x555555556e49,51727620,CORRECT
0x555555556923,1266332,SDC
0x555555556c0f,112099953,CRASH
0x55555555bb20,494931627,CRASH
0x555555556903,49709794,CRASH
0x555555556f28,15350463,CORRECT
0x555555556e20,59674295,CRASH
0x555555556e12,79000017,CORRECT
0x555555556e28,92216746,CORRECT
0x555555556ee9,51125195,CRASH
0x555555556a3d,43231240,CORRECT
0x55555555e51a,26160355,NOINJECT
0x555555556c13,164076943,CORRECT
0x55555555e4f2,9571166,NOINJECT
0x555555556e07,9222223,CRASH
0x555555556eb8,3017965,CORRECT
0x555555556ef6,43073373,CORRECT
0x55555555bb2a,480552896,NOINJECT
0x555555556c15,92214906,NOINJECT
0x55555555bb2d,192903824,SDC
0x555555560140,308679,CRASH
0x555555556e03,72137502,CORRECT
0x55555555670f,20437073,CORRECT
0x555555556e37,9423247,CORRECT
0x55555555653a,7178162,CORRECT
0x555555556551,60547489,NOINJECT
0x555555556bfc,69375942,CRASH
0x55555555e4f9,33064920,NOINJECT
0x555555556633,47034011,CORRECT
0x555555556e03,311501,CORRECT
0x555555556ec2,78782860,CORRECT
0x555555556923,16855894,SDC
0x555555556533,231745092,CRASH
0x555555556a4a,71203011,CRASH
0x555555556a22,24853076,CRASH
0x555555556ec7,100177903,CORRECT
0x55555555bb2d,228480159,SDC
0x555555556edf,50803086,CORRECT
0x555555556e81,48205210,CORRECT
