PC,OCC,RESULT
0x555555556bfd,14738024,CORRECT
0x5555555574d2,49651306,CRASH
0x5555555574da,43856153,CORRECT
0x7fffe4104360,452088,NOINJECT
0x555555556fa0,44020988,CORRECT
0x555555556fc6,3552886,CRASH
0x5555555574dd,28927065,CORRECT
0x555555556fab,26049100,CORRECT
0x555555557592,5936604,CRASH
0x555555557118,2703452,SDC
0x555555556ccd,25130251,SDC
0x555555556fe9,73544317,CORRECT
0x5555555575b9,1263443,CORRECT
0x555555556c3e,10289920,CORRECT
0x555555556be0,769318,CORRECT
0x555555557011,78458926,NOINJECT
0x55555555713b,3709095,CORRECT
0x555555556fda,17083680,CORRECT
0x55555555b1ed,997644,SDC
0x555555557515,55435201,CORRECT
0x555555556bd5,6549544,CORRECT
0x5555555574be,10026480,CRASH
0x5555555571c0,883542,SDC
0x555555556c05,27897912,CORRECT
0x555555556cc5,28935161,SDC
0x5555555574d6,44260062,CORRECT
0x5555555574bb,60439928,SDC
0x555555557511,22442859,CORRECT
0x555555556fc6,62426662,CORRECT
0x5555555574e5,10356573,CORRECT
0x555555557045,7801838,NOINJECT
0x555555556fc6,64905486,CORRECT
0x555555557555,1422167,NOINJECT
0x555555556fb4,67718327,CORRECT
0x5555555574dd,5130921,CORRECT
0x555555556fcd,21001844,CORRECT
0x555555556c7c,14194117,SDC
0x5555555574f4,58718621,CORRECT
0x55555555709b,371770,SDC
0x555555556c54,1880677,SDC
0x555555557631,8324258,NOINJECT
0x5555555574f4,35772755,CORRECT
0x555555556bdd,2143929,CRASH
0x555555556fd1,61094516,CORRECT
0x555555556fb9,11830783,CRASH
0x555555557122,6356066,SDC
0x555555556fda,66651037,CORRECT
0x5555555574ea,56424949,CORRECT
0x555555557505,47073912,CORRECT
0x555555556c82,22751452,CRASH
0x555555556fc2,16303216,CRASH
0x5555555575a2,6174300,CRASH
0x555555557005,67185286,CORRECT
0x555555556fb9,50355646,CRASH
0x555555556ca6,25500777,SDC
0x555555556fb7,81995181,NOINJECT
0x555555556fcd,20161073,CORRECT
0x5555555571a2,5233413,SDC
0x555555556ccd,22341718,SDC
0x555555556c54,5686755,SDC
0x5555555574d6,67280952,CRASH
0x5555555574e1,36233906,CORRECT
0x55555555719e,5785541,NOINJECT
0x555555557079,1556910,SDC
0x555555556c82,491235,CRASH
0x555555556ffd,4924245,CORRECT
0x555555557505,26577926,CORRECT
0x5555555574b7,37815626,SDC
0x5555555574b4,56174078,CRASH
0x555555556ff9,54332623,CORRECT
0x5555555574d2,20299369,CRASH
0x55555555706c,3170183,CORRECT
0x555555556fc2,16240302,CRASH
0x555555557521,59683508,NOINJECT
0x5555555571e7,1683927,CORRECT
0x5555555574fd,55070175,SDC
0x555555556fbd,40300519,CRASH
0x5555555574fd,16554062,CORRECT
0x5555555574b7,42415607,CORRECT
0x55555555751d,51351111,CORRECT
0x5555555574b2,32198975,NOINJECT
0x55555555718b,1278277,SDC
0x5555555574ef,52246410,SDC
0x555555556bd9,14188916,CRASH
0x555555556cf5,11258162,CORRECT
0x555555557005,5586591,CORRECT
0x555555557017,6354559,CRASH
0x5555555574d2,78816032,CRASH
0x555555556cc1,2042816,CORRECT
0x555555556cc9,15505570,CORRECT
0x555555557126,9953479,NOINJECT
0x5555555574cd,31368546,CRASH
0x5555555574ef,73923908,CORRECT
0x55555555757b,4498160,CORRECT
0x5555555574da,336762,CRASH
0x55555555767e,9949459,CORRECT
0x555555556fc2,20722973,CORRECT
0x555555556bd9,28746553,CRASH
0x555555557135,6689586,CRASH
0x5555555574e1,25677522,CORRECT
0x555555556fa4,37376649,CRASH
0x5555555574a2,4018631,CRASH
0x555555556c30,9503422,CORRECT
0x555555556ca6,12347520,SDC
0x55555555710a,3445292,CORRECT
0x555555557523,10272709,CORRECT
0x555555557001,62702991,CORRECT
0x555555556c8a,13175135,CORRECT
0x555555556fcd,2409891,SDC
0x555555556ce9,17436995,CORRECT
0x555555557627,4562790,SDC
0x55555555750d,34619247,CORRECT
0x555555556cbd,15313229,CORRECT
0x555555556be0,12231366,CORRECT
0x555555556ff9,22515370,CORRECT
0x555555556ce1,18339489,CORRECT
0x5555555570f8,4465623,NOINJECT
0x7fffe4260875,328341,NOINJECT
0x555555556c20,10866792,CORRECT
0x55555555750d,9692983,CORRECT
0x555555557543,2607991,CRASH
0x555555556fae,51499988,CRASH
0x555555556fda,41787557,CORRECT
0x55555555705d,1843844,NOINJECT
0x5555555574da,44696474,SDC
0x555555556ff9,57931801,CORRECT
0x55555555b214,1431963,CRASH
0x5555555575ca,6256672,CORRECT
0x555555556ff1,21846861,CORRECT
0x555555556bfd,6154870,CORRECT
0x5555555574e5,70429330,CORRECT
0x555555556fb9,10225218,CRASH
0x55555555716e,6445291,CORRECT
0x555555557521,2225195,CRASH
0x555555556c46,774944,CORRECT
0x555555556ff1,3360372,CORRECT
0x555555556ff9,51827994,CORRECT
0x555555556fb9,39937384,CRASH
0x555555557505,76404302,CORRECT
0x55555555700d,40516171,CORRECT
0x5555555574fd,24725962,CORRECT
0x55555555719a,2961938,SDC
0x555555556fb9,54961478,CRASH
0x555555557494,893157,CORRECT
0x555555557546,4044368,CRASH
0x55555555750d,79270402,CORRECT
0x555555557527,7837721,CRASH
0x555555556fa7,5529785,SDC
0x55555555767e,1390467,SDC
0x55555555710f,2288341,NOINJECT
0x555555557009,30382807,CORRECT
0x5555555574b4,74122963,CRASH
0x555555556fa2,22868249,NOINJECT
0x5555555574b4,49783878,CRASH
0x555555557013,1378901,CORRECT
0x555555556bed,8739944,CORRECT
0x555555556c0d,8372858,CORRECT
0x555555556c4e,22084537,SDC
0x555555556c24,6592152,CORRECT
0x555555556fab,65203276,CORRECT
0x555555557515,18703452,CORRECT
0x555555556fb9,19597790,CRASH
0x555555556c4e,2263727,SDC
0x55555555750d,39576856,CORRECT
0x555555557026,8315923,CRASH
0x7fffe4104480,2089,NOINJECT
0x5555555575c2,7503592,CORRECT
0x555555557515,78567302,CORRECT
0x555555557673,8587617,NOINJECT
0x555555556bd9,7109085,CRASH
0x555555556fe4,20047998,CORRECT
0x555555556bed,21630965,CORRECT
0x555555556ff5,6063747,CORRECT
0x555555556c2c,22225307,CORRECT
0x5555555574a7,3432605,CORRECT
0x555555557011,58925610,NOINJECT
0x5555555574fd,709990,CORRECT
0x555555557511,50533450,CORRECT
0x555555556c9f,10784916,SDC
0x555555557515,51508672,CORRECT
0x5555555574c7,36422238,CRASH
0x555555556fda,39668746,CORRECT
0x5555555574b7,54188001,CORRECT
0x555555557501,76902688,CORRECT
0x555555556fa7,4320533,CRASH
0x555555557071,172015,CRASH
0x555555557126,8152836,NOINJECT
0x555555557521,6908534,CRASH
0x555555556fc2,36677424,CRASH
0x5555555574b7,15054830,CRASH
0x555555557661,4529915,CORRECT
0x555555556ff5,77570097,CORRECT
0x555555556c52,14547160,CORRECT
0x555555556c15,6255384,SDC
0x5555555574ef,7550979,CORRECT
0x5555555574f4,70365077,CORRECT
0x555555556c56,8390591,NOINJECT
0x555555556bd9,14343880,CRASH
0x5555555574cd,2843498,CRASH
0x5555555574e5,37392697,CORRECT
0x555555556c11,24012983,CORRECT
0x555555556cc5,23053614,CORRECT
0x55555555bcb3,79274,CRASH
0x555555556fd1,71644030,CORRECT
0x555555557118,7707571,CORRECT
0x555555556c86,22724801,CORRECT
0x555555557045,9277060,NOINJECT
0x55555555717a,6732852,NOINJECT
0x555555556ce5,26727264,CORRECT
0x555555557001,42817205,CORRECT
0x55555555b7c8,130096,NOINJECT
0x555555556c86,25547602,CORRECT
0x555555557511,68554084,CORRECT
0x555555556fb7,16444518,CORRECT
0x555555556c30,19884020,SDC
