PC,OCC,RESULT
0x555555557207,889024,CRASH
0x7fffe4373e52,57624,NOINJECT
0x555555556f2a,30103,CORRECT
0x7fffe4372765,28407,NOINJECT
0x55555555720f,94738,CORRECT
0x7fffe43753fe,74066,NOINJECT
0x55555555dd1d,342236,CRASH
0x7fffe43727a2,124632,NOINJECT
0x555555556f55,19795,CORRECT
0x55555555dd17,125885,NOINJECT
0x7fffe434fb9e,28566,NOINJECT
0x5555555572da,35021,CORRECT
0x55555555da85,34269,CRASH
0x5555555572c0,383326,CRASH
0x5555555571e1,392556,NOINJECT
0x7fffe435dfd5,17134,NOINJECT
0x55555555dcfa,282958,NOINJECT
0x7fffe4374886,127028,NOINJECT
0x55555555da21,242984,CORRECT
0x7fffe43726a9,29579,NOINJECT
0x5555555571fb,135681,NOINJECT
0x55555555dd21,206999,CRASH
0x7fffe43753e0,294318,NOINJECT
0x55555555da4f,58147,CORRECT
0x55555555dbca,5541,CORRECT
0x7fffe437488e,133305,NOINJECT
0x5555555571d6,275852,CORRECT
0x7fffe437285d,102887,NOINJECT
0x55555555d9f6,196735,CRASH
0x5555555571f0,308146,CRASH
0x7fffe43728f7,56893,NOINJECT
0x55555555da37,51147,NOINJECT
0x55555555dc05,182164,NOINJECT
0x55555555da18,264558,CRASH
0x55555555e1f5,9097,CRASH
0x555555557701,14099,CORRECT
0x7fffe4373d70,48371,NOINJECT
0x7fffe43726c3,60919,NOINJECT
0x55555555daa9,16819,CRASH
0x5555555572d3,355940,CORRECT
0x7fffe43726ac,19344,NOINJECT
0x55555555dcf6,217245,CRASH
0x555555557160,929377,CORRECT
0x55555555da2c,260024,CRASH
0x7fffe43718c3,145226,NOINJECT
0x7fffe4373de8,158492,NOINJECT
0x5555555572ae,257685,CORRECT
0x55555555dd25,177222,NOINJECT
0x555555557160,405178,CORRECT
0x55555555732f,17502,CRASH
0x555555556973,75241,CRASH
0x55555555dbfa,162995,CRASH
0x555555557157,354362,CORRECT
0x55555555dbe0,137089,CRASH
0x555555556ea9,11687,CORRECT
0x7fffe43750e1,86823,NOINJECT
0x7fffe437175f,264972,NOINJECT
0x55555555dbdc,342698,CRASH
0x7fffe43726ec,266227,NOINJECT
0x7fffe435b618,8808,NOINJECT
0x555555556985,174554,NOINJECT
0x7fffe4372745,219303,NOINJECT
0x7fffe43739c9,165371,NOINJECT
0x55555555dd14,10569,CORRECT
0x7fffe44707b0,32564,NOINJECT
0x55555555dbca,319111,CRASH
0x55555555693e,2104,CORRECT
0x55555555bf41,2552,NOINJECT
0x7fffe4372745,178885,NOINJECT
0x555555556d3a,21195,CRASH
0x7fffe437446c,111651,NOINJECT
0x55555555da43,25646,CORRECT
0x7fffe43739b9,69706,NOINJECT
0x7fffe43753fe,165221,NOINJECT
0x55555555bf71,23643,CORRECT
0x7fffe43753fe,122139,NOINJECT
0x7fffe437173a,238607,NOINJECT
0x55555555693e,281877,CORRECT
0x5555555572cc,159308,CRASH
0x55555555724a,78957,CORRECT
0x555555556d44,23955,CORRECT
0x55555555698b,22314,NOINJECT
0x7fffe4371753,168239,NOINJECT
0x55555555dbc6,44305,CORRECT
0x7fffe43748b0,134463,NOINJECT
0x5555555571f8,693881,CRASH
0x7fffe4375422,66574,NOINJECT
0x7fffe4372709,218296,NOINJECT
0x7fffe43728b9,17228,NOINJECT
0x7fffe4372866,119880,NOINJECT
0x7fffe4374485,145899,NOINJECT
0x7fffe437179b,83234,NOINJECT
0x7fffe437277d,147153,NOINJECT
0x555555556de5,9409,CRASH
0x7fffe4372709,41929,NOINJECT
0x5555555571b2,6857,CORRECT
0x7fffe4372808,104584,NOINJECT
0x7fffe43750ff,59638,NOINJECT
0x7fffe435b30e,10257,NOINJECT
0x7fffe43750af,37332,NOINJECT
0x5555555571f4,323383,CRASH
0x55555555dbe5,365567,CRASH
0x7fffe437446f,103515,NOINJECT
0x55555555da63,331735,CORRECT
0x555555556f05,2940,CRASH
0x555555557213,541026,NOINJECT
0x7fffe43751a7,97899,NOINJECT
0x55555555e3d8,7510,CORRECT
0x555555557157,229279,CORRECT
0x5555555572c0,207859,CORRECT
0x7fffe4373df3,112572,NOINJECT
0x7fffe4373de8,8686,NOINJECT
0x55555555da7a,102427,SDC
0x55555555e4bd,15217,CORRECT
0x55555555dd29,216864,CORRECT
0x7fffe43728ed,60268,NOINJECT
0x7fffe4374471,66564,NOINJECT
0x7fffe437189e,92833,NOINJECT
0x7fffe43726f5,185987,NOINJECT
0x55555555dbfd,159855,CRASH
0x555555556eef,39499,CORRECT
0x55555555dbe5,135309,CORRECT
0x7fffe4372914,93078,NOINJECT
0x55555555722a,158113,CORRECT
0x55555555dd2e,22962,CRASH
0x555555557779,92694,CORRECT
0x7fffe4373e6b,71127,NOINJECT
0x7fffe43727e8,57134,NOINJECT
0x55555555dcfa,234060,NOINJECT
0x5555555571d3,124238,CRASH
0x5555555571f4,559323,CRASH
0x7fffe437174d,10256,NOINJECT
0x55555555715c,111135,CORRECT
0x7fffe43718c3,23695,NOINJECT
0x7fffe43753f3,158290,NOINJECT
0x7fffe43726a9,23057,NOINJECT
0x55555555e3e4,10004,NOINJECT
0x7fffe4373e8a,152714,NOINJECT
0x5555555577b0,88829,CORRECT
0x7fffe437545b,127489,NOINJECT
0x55555555d9f9,163641,NOINJECT
0x555555557240,341005,NOINJECT
0x7fffe4375415,53240,NOINJECT
0x55555555de71,159,CRASH
0x55555555dcda,345413,CORRECT
0x55555555da4b,91583,CORRECT
0x7fffe43726c5,276177,NOINJECT
0x5555555571cf,872242,CRASH
0x55555555de9c,39369,CRASH
0x55555555772c,73936,CRASH
0x5555555571f4,700670,CRASH
0x555555556de5,90466,CORRECT
0x7fffe437489b,16492,NOINJECT
0x555555557157,253930,CORRECT
0x7fffe4375409,179589,NOINJECT
0x5555555571de,824713,CRASH
0x7fffe43748b4,60351,NOINJECT
0x55555555d9f1,251899,NOINJECT
0x7fffe4373df3,14057,NOINJECT
0x55555555776b,58792,CRASH
0x55555555dd0b,293083,NOINJECT
0x7fffe4470797,30924,NOINJECT
0x5555555571fb,553569,NOINJECT
0x7fffe43727f6,129365,NOINJECT
0x55555555d9f6,307,CRASH
0x7fffe4373de8,5966,NOINJECT
0x7fffe43727e8,13959,NOINJECT
0x55555555dbca,107928,CRASH
0x7fffe4373de8,44377,NOINJECT
0x7fffe4375257,168754,NOINJECT
0x7fffe43718a4,134902,NOINJECT
