PC,OCC,RESULT
0x55555555bf6a,30485,CRASH
0x5555555571da,216656,CORRECT
0x55555555695d,216985,CORRECT
0x55555555dd05,248656,CRASH
0x555555556d7f,198392,CRASH
0x5555555571ec,255710,CRASH
0x555555556f4b,80719,CORRECT
0x55555555693e,725273,CORRECT
0x55555555dd21,152402,CRASH
0x7fffe4372716,47364,NOINJECT
0x7fffe44707b7,10494,NOINJECT
0x7fffe43726a9,149675,NOINJECT
0x555555557157,1446854,CORRECT
0x55555555dcfd,342125,CRASH
0x555555557202,190472,CORRECT
0x5555555572a5,594054,CORRECT
0x555555556f5b,214865,CORRECT
0x555555556973,386898,CRASH
0x55555555d9f9,289958,NOINJECT
0x55555555da85,211547,CRASH
0x7fffe435b2bd,1264,NOINJECT
0x55555555bfb6,17664,CRASH
0x7fffe435b710,95,NOINJECT
0x55555555690b,66682,NOINJECT
0x5555555572bd,127429,CORRECT
0x7fffe43726db,262999,NOINJECT
0x55555555724a,346174,CORRECT
0x7fffe4372801,200302,NOINJECT
0x555555556ef2,95536,NOINJECT
0x5555555571f0,743709,CORRECT
0x7fffe4371911,13384,NOINJECT
0x7fffe434ff47,10071,NOINJECT
0x55555555dd01,19961,CRASH
0x55555555dbe0,112591,CRASH
0x55555555dd25,206440,NOINJECT
0x7fffe4372888,124545,NOINJECT
0x7fffe437185c,13373,NOINJECT
0x555555556e6c,8939,CRASH
0x555555556973,418681,CRASH
0x55555555dce8,241154,CRASH
0x55555555dd29,34234,CRASH
0x7fffe437192f,82262,NOINJECT
0x7fffe43739b9,185924,NOINJECT
0x555555557236,323055,CRASH
0x5555555571e8,1539196,CRASH
0x7fffe437280a,130910,NOINJECT
0x555555557202,307946,CORRECT
0x55555555693e,651970,CORRECT
0x55555555da18,183391,CRASH
0x55555555772c,64182,CRASH
0x555555556f5b,210002,CRASH
0x555555557202,1049060,CORRECT
0x5555555571e1,430570,NOINJECT
0x55555555e471,16337,CRASH
0x7fffe4371761,118676,NOINJECT
0x5555555571ec,5301,SDC
0x55555555da0d,158492,CORRECT
0x555555557213,1220503,NOINJECT
0x555555556270,260538,NOINJECT
0x55555555dbcd,39235,CORRECT
0x55555555695d,561825,CORRECT
0x7fffe4371729,157582,NOINJECT
0x55555555deb7,28148,CORRECT
0x5555555571fb,883989,NOINJECT
0x555555556973,234139,CRASH
0x555555557327,33321,CORRECT
0x7fffe4371768,47929,NOINJECT
0x5555555571f8,505374,CRASH
0x55555555dbf6,234882,CORRECT
0x55555555692f,231746,CORRECT
0x555555556ef5,93243,CRASH
0x5555555577d1,65148,NOINJECT
0x55555555da77,403632,CORRECT
0x555555556ede,25999,CRASH
0x7fffe4375257,133553,NOINJECT
0x7fffe43726be,216538,NOINJECT
0x55555555dc00,373513,CRASH
0x55555555715c,851198,CORRECT
0x55555555da24,315474,CRASH
0x55555555dc05,373079,NOINJECT
0x55555555e46d,4,CORRECT
0x55555555dbb5,402260,CORRECT
0x55555555dcfd,233428,CRASH
0x555555556dab,46597,CRASH
0x5555555571de,422329,CORRECT
0x55555555bfa1,16476,CORRECT
0x7fffe4373e55,19100,NOINJECT
0x7fffe4374086,86119,NOINJECT
0x5555555571fb,267876,NOINJECT
0x555555557236,234831,CRASH
0x55555555da5f,395857,CRASH
0x5555555572ae,104173,CORRECT
0x55555555dd29,350186,CORRECT
0x555555557717,81221,CORRECT
0x5555555572da,499256,CORRECT
0x555555556d53,69677,CRASH
0x555555556dee,137722,CORRECT
0x5555555572bd,429142,CORRECT
0x555555556da8,9077,CORRECT
0x7fffe4372804,70006,NOINJECT
0x7fffe4371736,2724,NOINJECT
0x7fffe437446f,241228,NOINJECT
0x55555555dbb5,400472,CRASH
0x555555557207,1170817,CRASH
0x55555555693e,697904,CORRECT
0x7fffe4372890,9530,NOINJECT
0x5555555571d3,1529907,CRASH
0x7fffe437544e,1562,NOINJECT
0x55555555715c,591374,CORRECT
0x55555555690b,73692,NOINJECT
0x5555555572bd,433815,CORRECT
0x55555555723a,692462,CRASH
0x5555555572d6,447834,CORRECT
0x5555555571d3,806384,CRASH
0x55555555695d,544396,CRASH
0x5555555571e1,372665,NOINJECT
0x5555555572a5,439180,CORRECT
0x7fffe437186a,130261,NOINJECT
0x7fffe437446f,258858,NOINJECT
0x5555555571de,434124,CRASH
0x555555556973,725004,CRASH
0x555555556e63,153622,CORRECT
0x5555555571a0,44592,CRASH
0x55555555e0fc,8619,CRASH
0x5555555577cd,8362,CORRECT
0x5555555571f8,850254,CORRECT
0x5555555572bd,12969,CORRECT
0x555555557202,1431766,CORRECT
0x55555555715c,507300,CORRECT
0x555555556d76,21276,CRASH
0x555555556f42,146477,CRASH
0x7fffe43751aa,77604,NOINJECT
0x55555555dcda,24986,SDC
0x7fffe437408a,111915,NOINJECT
0x5555555572fd,4448,CRASH
0x7fffe4371846,143639,NOINJECT
0x55555555da7d,25177,NOINJECT
0x555555557160,1532022,CRASH
0x55555555dc08,214306,CORRECT
0x5555555571e8,261890,CRASH
0x55555555da6a,1124,CRASH
0x55555555695d,289274,CRASH
0x7fffe4372806,236714,NOINJECT
0x5555555572d3,14486,CORRECT
0x555555557720,44221,CORRECT
0x555555557314,50201,CRASH
0x55555555dbb5,7644,CORRECT
0x7fffe44708ac,47133,NOINJECT
0x5555555572d6,216203,CORRECT
0x55555555778e,23376,CRASH
0x7fffe43739c5,189493,NOINJECT
0x55555555dbba,390508,CRASH
0x7fffe4373e64,267907,NOINJECT
0x555555556985,166633,NOINJECT
0x7fffe4372709,262973,NOINJECT
0x7fffe4373e78,93207,NOINJECT
0x7fffe437446c,197881,NOINJECT
0x7fffe4373aff,11473,NOINJECT
0x7fffe43750ea,261692,NOINJECT
0x55555555693e,627658,CORRECT
0x55555555692f,392238,CORRECT
0x55555555dbfa,217703,CORRECT
0x7fffe4371960,111077,NOINJECT
0x55555555774a,35740,CRASH
0x7fffe43744b5,129673,NOINJECT
0x7fffe4373a06,76221,NOINJECT
0x7fffe43750f7,205130,NOINJECT
0x5555555571cf,780064,CRASH
0x55555555dbca,391812,CRASH
0x55555555723a,375701,CRASH
0x7fffe43751a8,105381,NOINJECT
0x7fffe43726ac,185023,NOINJECT
0x7fffe4371729,180359,NOINJECT
0x55555555fc77,25,CORRECT
0x55555555e447,17574,CORRECT
0x555555556f19,87157,CRASH
0x55555555693e,184418,CORRECT
0x55555555e1ef,10608,CRASH
0x7fffe437287c,118325,NOINJECT
0x555555556f37,82813,CRASH
0x7fffe4372761,1636,NOINJECT
0x55555555720b,1513137,CORRECT
0x7fffe4372804,202900,NOINJECT
0x55555555da68,295980,CORRECT
0x5555555571cf,324964,CRASH
0x5555555572bd,552,CORRECT
0x7fffe43750aa,235688,NOINJECT
0x7fffe4373e0e,190582,NOINJECT
0x7fffe4373e06,284683,NOINJECT
0x7fffe4372806,175254,NOINJECT
0x7fffe44708a2,53633,NOINJECT
0x55555555dcf6,337173,CORRECT
0x55555555bf82,58178,CRASH
0x555555557157,1326068,CORRECT
0x55555555693e,46356,CORRECT
0x7fffe43750a4,107380,NOINJECT
0x555555556973,230778,CORRECT
0x7fffe4374086,14617,NOINJECT
0x7fffe4371743,225208,NOINJECT
0x55555555715c,218799,CORRECT
0x7fffe4375453,150151,NOINJECT
0x7fffe4371911,60236,NOINJECT
0x7fffe4371758,102789,NOINJECT
0x7fffe43728fb,90328,NOINJECT
0x7fffe43727ca,78817,NOINJECT
0x5555555572bd,274310,CORRECT
0x7fffe4375453,164513,NOINJECT
0x7fffe437171f,264368,NOINJECT
0x555555557157,1376467,CORRECT
0x7fffe4371714,265121,NOINJECT
0x555555556d7f,38786,CRASH
0x7fffe4373b1c,101796,NOINJECT
0x55555555693e,92581,CORRECT
0x7fffe4375250,135992,NOINJECT
0x7fffe437449d,195578,NOINJECT
0x55555555da40,358102,CORRECT
0x7fffe43750bf,141757,NOINJECT
0x55555555723d,409611,CORRECT
0x55555555d9f9,371567,NOINJECT
0x55555555692f,513120,CORRECT
0x7fffe4371749,113825,NOINJECT
0x55555555da66,219398,CORRECT
0x55555555692f,238822,CORRECT
0x7fffe435b2ef,17588,NOINJECT
0x7fffe4374080,118758,NOINJECT
0x7fffe437179f,218110,NOINJECT
0x7fffe434ffe8,10946,NOINJECT
0x5555555571f0,1405124,CRASH
0x55555555722a,258065,CRASH
0x5555555571d6,556512,CRASH
0x555555556f63,120917,CORRECT
0x7fffe437290d,36,NOINJECT
0x7fffe4375422,80847,NOINJECT
0x7fffe4372802,152953,NOINJECT
0x7fffe4372857,83769,NOINJECT
