PC,OCC,RESULT
0x7fffe40cbdfc,11081594,NOINJECT
0x7fffe410a711,11102926,NOINJECT
0x7fffe410a6cc,2266606,NOINJECT
0x555555555873,22944748,CORRECT
0x55555555586a,3831659,CORRECT
0x555555555946,21805305,SDC
0x55555555584b,8538722,NOINJECT
0x555555557370,12836102,CORRECT
0x7fffe410a711,2275655,NOINJECT
0x55555555589e,12496327,NOINJECT
0x555555555991,12230179,NOINJECT
0x555555555853,16318499,SDC
0x7fffe410a6c4,3434552,NOINJECT
0x555555555823,7563594,CRASH
0x7fffe410a724,16873469,NOINJECT
0x7fffe410a724,6342080,NOINJECT
0x55555555592c,21538067,CORRECT
0x555555557370,34881538,CORRECT
0x7fffe410a73d,6078743,NOINJECT
0x555555555889,9027010,SDC
0x555555557361,35648140,CORRECT
0x555555557361,20508286,SDC
0x555555555847,26600217,CORRECT
0x7fffe410a724,17875570,NOINJECT
0x55555555584b,4505895,NOINJECT
0x5555555558d1,24238592,CORRECT
0x7fffe410a708,8998682,NOINJECT
0x55555555590e,17466435,CORRECT
0x55555555588d,18813367,CORRECT
0x555555555847,12867217,CORRECT
0x555555555912,13244981,NOINJECT
0x55555555737c,7014434,CRASH
0x55555555595a,4529956,CORRECT
0x7fffe410a6a1,3802901,NOINJECT
0x555555557367,19512237,CRASH
0x7fffe410a73d,16218705,NOINJECT
0x7fffe410a6fb,24211250,NOINJECT
0x555555555811,7388113,SDC
0x555555557361,28549800,SDC
0x555555555984,20152391,SDC
0x55555555598c,13043762,SDC
0x555555557370,26497359,SDC
0x555555557343,24975018,SDC
0x7fffe410a7a9,753393,NOINJECT
0x55555555593f,11536751,SDC
0x555555555962,825642,CRASH
0x55555555591f,8069088,SDC
0x55555555593a,25260319,CORRECT
0x555555555962,17031779,SDC
0x555555557385,55798857,CORRECT
0x555555555850,21497321,CRASH
0x7fffe410a6ab,6162806,NOINJECT
0x7fffe40cbdfc,13858249,NOINJECT
0x555555557385,12543134,CORRECT
0x55555555595f,25263332,CRASH
0x555555555953,18259412,CRASH
0x7fffe410a6fb,12665414,NOINJECT
0x555555557380,62555317,NOINJECT
0x7fffe410a73d,18551521,NOINJECT
0x55555555587f,3544001,NOINJECT
0x5555555558c7,9891381,SDC
0x55555555735d,18733483,CORRECT
0x7fffe40cbdfe,3975910,NOINJECT
0x55555555589e,12441152,NOINJECT
0x7fffe410a6fb,13159501,NOINJECT
0x555555557385,35349835,CORRECT
0x5555555558e1,18739877,CORRECT
0x7fffe410a66e,6899147,NOINJECT
0x555555557336,44282845,CORRECT
0x555555555999,17982455,SDC
0x55555555597f,18718518,NOINJECT
0x55555555584b,14265342,NOINJECT
0x555555557343,43469378,SDC
0x7fffe410a754,8556014,NOINJECT
0x555555555884,9472261,CORRECT
0x7fffe40cbdf0,9398304,NOINJECT
0x55555555587f,3810552,NOINJECT
0x555555555930,5363303,NOINJECT
0x555555555896,1097493,SDC
0x7fffe410a74f,20932974,NOINJECT
0x7fffe410a6ab,23468373,NOINJECT
0x555555557389,31652668,CRASH
0x55555555733f,57220342,SDC
0x55555555596c,17393000,SDC
0x7fffe410a6d7,6066484,NOINJECT
0x7fffe410a6d7,13882322,NOINJECT
0x7fffe410a74f,11895726,NOINJECT
0x555555557370,49084102,SDC
0x55555555733f,41068345,SDC
0x555555557378,50001953,SDC
0x555555557385,56035811,CORRECT
0x7fffe410a695,13638723,NOINJECT
0x55555555735d,31000956,CORRECT
0x7fffe410a66e,15763642,NOINJECT
0x555555555827,4629599,CRASH
0x555555557378,15254974,SDC
0x55555555586a,10966638,CORRECT
0x7fffe40cbdf4,5284422,NOINJECT
0x55555555589a,12661222,SDC
0x7fffe410a724,4221154,NOINJECT
0x5555555559ae,32264552,SDC
0x555555555819,20864040,SDC
0x7fffe40cbdf4,19932503,NOINJECT
0x5555555558e1,3587932,SDC
0x7fffe410a73d,21492084,NOINJECT
0x555555555853,4955014,CRASH
0x555555555964,5878746,CORRECT
0x5555555558f1,25173555,NOINJECT
