PC,OCC
0x47c4e5,11864
0x4178dd,1979
0x416531,2970
0x47a4a0,495
0x41d93f,3457
0x41622c,1386
0x41f8d9,16970
0x47ae38,3255
0x41ed2b,8476
0x46841a,2428
0x41f8d1,3342
0x403bc2,73
0x4164b9,1654
0x47a8bc,368
0x403c0a,102
0x41ed60,8258
0x4161e8,1214
0x47b5a7,4361
0x47bc0a,181
0x416400,1066
0x47a4d2,648
0x47b99c,2842
0x47b158,7412
0x416539,3630
0x4178ff,497
0x41d9f7,1018
0x4536b3,5585
0x47bcff,2655
0x4980f0,3401
0x47b5bd,4031
0x41d8ef,1988
0x41d8d8,2343
0x405999,10
0x41ed26,3553
0x47c96f,815
0x41da05,1255
0x47c853,190
0x416508,3182
0x41f8ad,11806
0x41f895,14336
0x41ed7d,10390
0x41d920,725
0x41d8c6,4716
0x4165a0,625
0x4991ab,609
0x412194,1783
0x41d93b,5534
0x403c57,4777
0x4980e4,8909
0x47c334,3220
0x416500,2757
0x47ae59,205
0x405af8,182
0x47a44a,13560
0x41f8d5,17037
0x44bbde,2677
0x41ed78,2962
0x47bc38,1063
0x47b0da,4
0x4120d8,1562
0x46841f,468
0x40605f,83
0x47bd71,2797
0x41d8e4,3000
0x47c41c,1620
0x47b5bd,2244
0x45361b,3979
0x453607,7823
0x47c75d,9410
0x47bc64,771
0x47b2db,2794
0x41ed64,13960
0x44bbf2,2332
0x47c73c,11564
0x47afe6,1472
0x47a436,4369
0x42212f,2673
0x4980ee,4847
0x47a4e3,1966
0x416801,516
0x47a512,2876
0x47a430,8306
0x47afac,472
0x41f899,8299
0x4980ee,16205
0x47b15e,2236
0x416819,2907
0x41ed75,16602
0x41ed68,6847
0x44c1bd,1328
0x403a9e,285
0x47b4a3,1927
0x47b2ad,280
0x47bc49,1107
0x497718,1408
0x41ed68,13220
0x4536ba,2662
0x41ed87,12281
0x47a4df,60
0x47c746,14053
0x47a530,11305
0x412130,1678
0x41ed26,19421
0x47b5b0,1644
0x47c972,608
0x47a51c,3353
0x47bd13,1635
0x41ed4d,3954
0x47be0d,1410
0x403b02,8168
0x47b581,4051
0x4171dd,4019
0x41f8bb,15061
0x4163b8,467
0x41d937,2960
0x403c95,3188
0x40268a,949
0x4981e8,14745
0x47af6e,933
0x416464,2957
0x47b5a7,3798
0x416201,186
0x47be06,2400
0x47a436,8760
0x4166bd,685
0x47b2ad,3746
0x41ed68,654
0x47ca9c,1899
0x47b5a7,7948
0x416494,407
0x47a512,7018
0x41ed2b,15839
0x41ed40,6921
0x47d498,1224
0x41f8da,4750
0x49771d,610
0x41ed86,2989
0x47a532,6987
0x41f8ad,5976
0x4536b0,4460
0x44bbe4,3686
0x47b5b0,317
0x422188,1002
0x41ed2a,13578
0x41f8ad,15725
0x47b5cb,6089
0x41657f,1834
0x47c4e5,9893
0x47a911,910
0x47ba0f,815
0x47c4dd,21519
0x416869,376
0x4164ac,516
0x47b2d4,2721
0x47b8f6,3639
0x4171d3,3220
0x47b36a,300
0x416531,260
0x403c4f,101
0x41ed68,9159
0x47be66,3574
0x47c36f,1539
0x4980fc,5073
0x4165aa,1897
0x41d9fd,3369
0x4981e8,13862
0x47b15e,8785
0x416555,654
0x47b5a7,7150
0x416825,2
0x453617,504
0x416516,3507
0x41d8d8,2297
0x47c3ee,2044
0x47c4d0,2099
0x4973e8,2117
0x4164ac,3993
0x47c3e9,1875
0x47a4b8,1271
0x47b036,2109
0x4991ae,562
0x4057f3,80
0x403b02,9794
0x41ed88,7306
0x47b504,1742
0x47c239,760
0x41685b,3117
0x47be02,1133
0x47c7f0,1030
0x47bfff,1106
0x41ed2a,11498
0x47ae5c,257
0x4163f6,943
0x40609b,122
0x47b166,2544
0x41f8bb,9727
0x47c96f,1017
0x44bc02,2529
0x499183,834
0x403c66,4817
0x41f894,7759
0x4171d9,2149
0x41ee1b,254
0x47a512,5554
0x47be85,1891
0x47c4e5,4993
0x4171f6,14
