PC,OCC
0x412182,1155
0x4120e0,1084
0x41ed64,4935
0x47bd60,208
0x47c386,1008
0x47a459,4694
0x41ed88,189
0x47a521,8757
0x47b5ac,5144
0x403018,265
0x41d935,3666
0x47a44a,1374
0x41f8ad,770
0x47b40f,487
0x4166c7,2493
0x4166b0,1711
0x47a43a,9999
0x419df2,20
0x47be9f,2214
0x47a47c,191
0x417909,842
0x41ed24,6560
0x41ed75,15580
0x41d948,736
0x41306d,1059
0x422153,800
0x47bd67,2304
0x41f8b4,5930
0x47bea3,2856
0x4981e7,2644
0x47a922,1060
0x41ed26,13285
0x416500,2158
0x416834,39
0x47b3ea,53
0x4980e4,5493
0x41ed83,5028
0x47a440,694
0x416841,1788
0x47c733,8294
0x44bbcf,4923
0x41791b,2832
0x41ed43,14788
0x416573,377
0x47b5bd,6952
0x47b928,2009
0x4166c7,850
0x47b207,211
0x402698,37
0x47b2d4,1432
0x41ed3e,1084
0x4130b2,546
0x47bd54,3473
0x4980ee,647
0x468410,357
0x47be53,1900
0x497b8c,1778
0x4120d0,1028
0x47b48a,2289
0x47b588,378
0x47a508,2494
0x4973db,351
0x47b230,406
0x41ed3e,10430
0x41ed6d,16611
0x47a532,3603
0x41f8d5,11355
0x47a549,5106
0x47a8e3,2611
0x403c20,1753
0x41ed2d,9887
0x4991ae,1059
0x47a4bc,1024
0x47ca7e,854
0x41ed3b,2564
0x41ed37,2635
0x418284,1708
0x47bd20,2274
0x4166c7,847
0x47c74b,773
0x47b5b2,1132
0x47c4ec,307
0x47a911,1697
0x44bbde,5540
0x41634a,698
0x47c757,383
0x47bc3a,1054
0x41ed75,12564
0x4981e4,8532
0x47b169,675
0x41ed83,15629
0x47b57c,548
0x41f8ad,8117
0x417253,1705
0x47c4d4,3868
0x41ed35,8958
0x416806,217
0x41648c,2325
0x4991d0,2475
0x47ac14,1359
0x417d0a,453
0x41f8c2,10217
0x47a430,7327
0x4163bf,623
0x44bbc4,1456
0x4980fc,8239
0x4536d2,4312
0x41d9f7,1198
0x4980de,1417
0x4163bf,991
0x416176,1579
0x4536d2,7324
0x41ed78,8076
0x41ed7a,642
0x403b00,6053
0x47b996,849
0x4171c9,2239
0x419e0f,654
0x47c733,6721
0x47a4bf,433
0x41d910,2353
0x41ed78,6308
0x412198,190
0x41ed40,793
0x47a4e3,2632
0x41663c,1394
0x41f899,1148
0x41f8d5,10041
0x47b162,6985
0x41f890,5280
0x47af68,790
0x41ed26,2177
0x47af04,7
0x47b92d,3832
0x47afac,3067
0x4980f7,12740
0x47bde9,3288
0x47c0fd,244
0x41648c,2980
0x405f59,524
0x47a519,8970
0x47a521,1267
0x47be59,4003
0x41d935,2287
0x47b94d,43
0x47ab88,1512
0x47a911,292
0x41d8d8,984
0x47b55e,1028
0x4171c0,2067
0x47bdb8,1920
0x4161cd,1009
0x47ca5c,1993
0x44bc02,4013
0x47be35,503
0x47b4f8,221
0x47bd71,879
0x41758e,375
0x403c5d,163
0x47bc10,247
0x47b460,3633
0x47a89a,1226
0x44c1bd,1280
0x47a898,2516
0x47b55b,138
0x4171bd,735
0x419e40,344
0x4980db,13709
0x4980e4,2087
0x47b166,7483
0x499188,3293
0x47afe6,1862
0x47be0d,28
0x47ca90,314
0x403af0,457
0x402671,707
0x41ed8a,3270
0x47c65a,192
0x41ed75,11230
0x41ed6d,14633
0x497698,1517
0x41ed5a,615
0x47be85,2205
0x403b00,708
