PC,OCC,RESULT
0x55555556328b,8650682,CORRECT
0x55555556324f,7367616,CORRECT
0x555555563212,8941648,CORRECT
0x5555555632a4,4567303,CORRECT
0x555555563252,2405651,NOINJECT
0x555555563355,1193004,CORRECT
0x55555558aaaf,14110830,CRASH
0x5555555632ba,14578180,CRASH
0x5555555632b6,1693343,CRASH
0x55555556326f,5852995,CORRECT
0x55555556322d,948220,NOINJECT
0x5555555631fa,59411,NOINJECT
0x7fffe4088394,234171,NOINJECT
0x5555555632bf,15936910,NOINJECT
0x555555563206,14078654,CORRECT
0x555555563344,11036511,NOINJECT
0x555555563280,4334154,CORRECT
0x55555556321c,7915483,SDC
0x555555563334,13253506,CORRECT
0x55555558aab1,9346769,CORRECT
0x5555555632ba,2144889,CORRECT
0x555555558fdd,490977,CRASH
0x55555556324f,2999363,CORRECT
0x555555563201,673316,CORRECT
0x555555563298,11661683,CRASH
0x7fffe41eb24c,1076103,NOINJECT
0x555555558f6c,1047676,CORRECT
0x5555555632ae,9868506,NOINJECT
0x55555558a597,770630,CORRECT
0x555555563239,11504101,CORRECT
0x55555556324f,15127008,CORRECT
0x5555555631f5,8232566,CORRECT
0x555555563263,9466315,CORRECT
0x55555556315e,304006,CRASH
0x555555563210,12145143,NOINJECT
0x555555563298,12884170,CRASH
0x55555558a59e,1486626,CORRECT
0x555555563275,735488,CORRECT
0x555555563341,2192651,CORRECT
0x55555556333d,11206643,CRASH
0x55555558a606,201748,CRASH
0x55555556326d,14315742,CORRECT
0x555555563221,10783930,CORRECT
0x555555563245,884003,CORRECT
0x5555555632b2,7382854,CRASH
0x555555563275,3251956,CORRECT
0x555555563217,4764574,CORRECT
0x555555558f40,1266781,NOINJECT
0x55555556322d,15057316,NOINJECT
0x555555563254,12092621,CORRECT
0x55555558a641,392061,CORRECT
0x55555556334b,1572908,NOINJECT
0x555555563330,11418448,CORRECT
0x55555556323e,2570938,CRASH
0x5555555632ae,11178763,NOINJECT
0x555555563254,11946783,CORRECT
0x55555558a680,1260256,CRASH
0x55555556323b,16206849,CORRECT
0x555555563212,13590996,CORRECT
0x555555563341,4609837,CORRECT
0x555555563254,610818,CORRECT
0x55555558aab6,2009839,CORRECT
0x555555563248,7987126,CORRECT
0x5555555633a9,1311072,CORRECT
0x55555558a606,858218,CORRECT
0x55555556321c,12184205,CRASH
0x555555563298,5338382,CRASH
0x55555556322f,2234592,CORRECT
0x7fffe41eb20a,1510356,NOINJECT
0x55555556328f,5107981,CORRECT
0x5555555633ca,1567835,CORRECT
0x5555555633d8,1355605,NOINJECT
0x5555555631e6,1404546,NOINJECT
0x555555563272,3127292,NOINJECT
0x55555556318f,1123146,NOINJECT
0x555555563298,6466816,CRASH
0x5555555632a4,4775948,SDC
0x55555556320d,7421756,CORRECT
0x555555563287,9692139,NOINJECT
0x555555563226,12663016,CORRECT
0x55555556326f,2444023,CORRECT
0x55555558a68e,1320768,CRASH
0x555555563254,13692391,CORRECT
0x555555563206,11766107,CORRECT
0x555555563239,11384652,CORRECT
0x55555556320d,95632,CORRECT
0x555555563287,14477338,NOINJECT
0x555555563279,8690470,CRASH
0x555555563330,15322768,CORRECT
0x55555556325c,11684380,NOINJECT
0x5555555632ba,10988875,CORRECT
0x55555556324d,4944657,CORRECT
0x55555556323b,15454661,CORRECT
0x55555558ae9a,697401,CRASH
0x5555555632b6,4589081,CRASH
0x555555563226,1957912,CORRECT
0x555555563295,3915437,CORRECT
0x55555556320b,11643441,CORRECT
0x55555558aab1,15893458,CORRECT
0x55555556317d,71463,NOINJECT
0x55555556329d,4517086,NOINJECT
0x55555556336f,1064918,CORRECT
0x5555555632bf,10349055,NOINJECT
0x7fffe41eb252,1524214,NOINJECT
0x555555563275,13974409,CORRECT
0x55555556327b,7828744,CRASH
0x55555558aac1,1595249,CRASH
0x555555563298,6101640,CRASH
0x555555563233,15403060,CORRECT
0x555555563254,8372477,CORRECT
0x555555558f74,375877,CRASH
0x555555563258,11465136,CORRECT
0x555555563258,4808848,CORRECT
0x555555563272,1302000,NOINJECT
0x555555563245,14114997,CORRECT
0x55555556323e,12907097,CRASH
0x555555563272,9309080,NOINJECT
0x55555556322f,8409859,CORRECT
0x55555556326f,5229685,CORRECT
0x5555555632b2,8680597,CRASH
0x55555558a5e7,890368,CORRECT
0x555555558f40,504824,NOINJECT
0x555555563254,1234509,CORRECT
0x55555556322d,8370020,NOINJECT
0x55555556327b,13292109,CRASH
0x5555555631fa,11289713,NOINJECT
0x5555555631fc,3471930,CORRECT
0x5555555633b9,1454731,CORRECT
0x55555556324d,2421210,CORRECT
0x55555558a597,1263592,CORRECT
0x555555563330,6940093,CORRECT
0x55555558aaac,8879996,SDC
0x7fffe41eb219,36693,NOINJECT
0x55555556329d,11283168,NOINJECT
0x55555556335c,1064611,CORRECT
0x55555556333d,7305440,CRASH
0x7fffe41eb236,987592,NOINJECT
0x55555556329d,7147121,NOINJECT
0x55555558a4ce,1451654,NOINJECT
0x55555556323b,3489555,CORRECT
0x555555563252,1242348,NOINJECT
0x5555555631fa,11750388,NOINJECT
0x55555556327b,2678517,SDC
0x555555563243,5123404,NOINJECT
0x55555556320d,12132124,CORRECT
0x555555563341,6210454,CORRECT
0x55555558aab9,15889587,CORRECT
0x55555556329d,12635054,NOINJECT
0x55555556325f,8506064,CORRECT
0x5555555632ba,9242921,CORRECT
0x555555563367,119074,CORRECT
0x55555556326d,6383005,CORRECT
0x555555563263,9677170,CORRECT
0x5555555631f0,7771551,CORRECT
0x5555555632a9,2420670,CORRECT
0x5555555632ba,728720,CRASH
0x55555558aab9,9668784,CORRECT
0x55555558aaac,2251573,SDC
0x7fffe41eb20a,33181,NOINJECT
0x55555556320d,9525127,CORRECT
0x55555556328f,2801010,CORRECT
0x555555563217,1902679,CORRECT
0x555555563280,7765799,CORRECT
0x5555555631e0,1408942,CRASH
0x55555558aabc,9091571,NOINJECT
0x55555556321c,9516522,CRASH
