PC,OCC
0x5555555562f3,449286
0x5555555562f3,1577614
0x5555555562f7,5049912
0x55555555601f,524209
0x55555555600f,11630487
0x555555556008,6166276
0x55555555600c,7118012
0x55555555601a,4561966
0x5555555562f7,1224534
0x55555555601a,4394324
0x5555555565b9,1308841
0x555555556011,7467752
0x55555555602d,1161469
0x555555555f10,1081199
0x55555555600f,6737058
0x55555555c859,604975
0x555555555f22,2922350
0x55555555601a,12590500
0x5555555565b6,286696
0x5555555562f3,2450336
0x555555558cd8,30703
0x55555555657f,117833
0x555555556008,3806584
0x55555555601a,3337880
0x55555555602d,271934
0x55555555601d,11355820
0x555555555f13,1171424
0x555555556011,5236234
0x555555555f1e,2369787
0x55555555600c,12754677
0x55555555602a,703187
0x555555555f10,3934030
0x555555555f13,1489642
0x555555555f22,1694797
0x55555555601a,13294485
0x555555556740,154052
0x55555555600c,4114002
0x55555555600c,9814725
0x5555555562f0,1485491
0x555555555f25,976506
0x55555555600f,6996766
0x5555555565e1,87130
0x55555555c75e,21658
0x55555555c85e,960677
0x55555555600c,11031664
0x555555556017,10642030
0x55555555601a,4590538
0x55555555600c,8524199
0x555555556017,5717213
0x555555556011,5389235
0x55555555600c,1678812
0x5555555565be,198423
0x555555555f10,753722
0x5555555562f3,3794689
0x555555555f1e,1223704
0x555555556017,6184101
0x55555555600c,12160202
0x5555555562f3,985904
0x555555556008,6273312
0x555555556014,13236141
0x555555555f10,2996892
0x555555555f16,2905183
0x55555555600f,3317582
0x55555555b79e,9781
0x555555556017,7465642
0x55555555600c,10872757
0x5555555562f0,853153
0x5555555562f0,5586124
0x5555555562f0,5237826
0x55555555600c,11032262
0x555555555f22,1160251
0x5555555562f3,6422572
0x555555556011,14364657
0x55555555600f,2432967
0x55555555601a,9067814
0x55555555600c,9728822
0x5555555562f0,2277392
0x55555555600c,3489846
0x55555555600c,11416415
0x555555555f22,2879216
0x555555556011,1240293
0x555555556014,6692746
0x55555555600f,9761633
0x55555555600c,876827
0x555555555f13,1418185
0x55555555601d,2385680
0x555555556014,4617134
0x5555555562f3,2349368
0x555555555f22,2359861
0x555555556022,529999
0x555555555f1e,4066202
0x55555555601d,11515561
0x555555555f18,667317
0x55555555a3dc,74262
0x5555555565b0,623214
0x55555555600c,9038253
0x555555556011,12913499
0x555555556011,9388720
0x5555555565e1,28102
0x55555555601a,4058868
0x555555555f13,1148919
0x555555556008,7066171
0x555555555f13,1942010
0x555555555f1e,1381104
0x55555555c85e,597175
0x555555555f22,906436
0x5555555565de,188250
0x555555555f1b,1098452
0x55555555a43c,129741
0x555555556026,1257884
0x555555556017,13013836
0x55555555600c,5077942
0x5555555562f7,6056308
0x555555555f1b,1478799
0x555555556022,932157
0x555555556008,2310893
0x55555555600f,9014842
0x55555555601d,1738483
0x5555555562f3,5386650
0x555555555f13,1940315
0x5555555562f0,2999613
0x55555555c856,1748466
0x555555556014,5312229
0x55555555600c,9725077
0x55555555600f,1890566
0x555555556014,690600
0x555555555f25,1974126
0x555555556008,5868462
0x555555556008,10227715
0x555555555f10,500643
0x555555555f22,4339882
0x555555555f13,2770069
0x555555556014,7440016
0x55555555600f,7190946
0x555555556008,7469655
0x55555555600c,8770205
0x555555556017,14327585
0x555555555f13,1856147
0x555555555f10,1972962
0x555555556014,2602539
0x55555555a3e4,126569
0x55555555600f,8994407
0x555555556011,7187432
0x55555555602a,698718
0x5555555562f7,1286962
0x55555555a3cc,73086
0x55555555601a,8803957
0x55555555a43b,236542
0x55555555601a,3358304
0x555555555f22,2396261
0x555555556011,14720718
0x555555555f13,3181865
0x555555556740,141467
0x555555556008,8561028
0x55555555601a,9783776
0x5555555562f7,2463931
0x555555556014,13217819
0x555555556014,3431177
0x555555555f1e,757095
0x5555555562f7,1711484
0x55555555601a,3264206
0x555555555f22,1749132
0x55555555c85e,1190329
0x555555556022,516299
0x55555555600f,7677906
0x555555556026,361540
0x555555555f1e,3966377
0x5555555565b9,179987
0x555555555f1b,1466595
0x555555556026,539372
0x555555555f1e,1178371
0x555555556008,7739701
0x55555555c80b,21569
0x55555555601a,11981451
0x555555556011,9234331
0x55555555600c,9453448
0x55555555601a,12869217
0x555555556008,7808285
0x5555555562f7,5960533
0x555555556011,7032442
0x55555555601d,1619145
0x555555556011,11460375
0x555555556011,3024573
0x555555556008,3191734
0x55555555601d,12227164
0x5555555565a5,59135
0x5555555565e1,144536
0x55555555600f,12118791
0x55555555601a,15206158
0x55555555600c,1600390
0x555555555f1b,1180105
0x5555555565e1,185090
0x555555556017,8575758
0x55555555600f,10744796
0x555555556dac,3014
0x55555555a420,18495
0x55555555c85e,1720949
0x55555555c856,320785
0x555555556014,12609754
0x55555555600f,12494235
0x555555556011,7316477
0x5555555562f7,223217
0x555555556011,5385386
0x555555556011,4570364
0x555555556008,11250803
0x5555555562f3,4391054
0x555555556017,14451666
0x5555555562fa,986769
0x55555555600c,1155651
0x555555556011,3498755
0x555555555f55,4222
0x555555556008,7073058
0x555555556008,11637068
0x555555555f10,4360888
0x555555555f1b,543321
0x555555556dc5,406
0x555555556011,13750228
0x55555555600c,9471860
0x55555555600f,1438993
0x55555555601d,9740750
0x55555555c85e,1505369
0x5555555562f3,5752744
0x55555555657a,219030
0x555555555f16,1303627
0x555555556011,7128362
0x555555555f13,4437979
0x55555555601a,4826400
0x55555555600c,4381190
0x555555556017,9237310
0x55555555600c,10641387
0x5555555562fa,3545732
0x555555555f22,2262350
0x55555555601a,9144413
0x5555555562f7,4097403
0x555555556008,9910450
0x555555556017,5844575
0x5555555562f7,6186302
0x555555556017,11699964
0x5555555562f3,2380733
0x5555555562f0,4741945
0x55555555600f,11354173
0x555555556011,14912558
0x555555555f25,3450564
0x55555555601a,2742433
0x555555556017,6489876
0x555555556017,8208914
0x555555556008,7854824
0x55555555601d,12943452
0x55555555a3e4,150746
0x555555556011,5517968
0x555555556011,3607679
0x5555555562f7,4579176
0x55555555659c,209748
0x55555555600c,3228458
0x555555555f16,2356234
0x555555556011,14849258
0x555555555f13,3262000
0x555555556017,5035070
0x555555556014,15154651
0x5555555562f7,3157295
0x55555555601a,1111262
0x555555556008,1523494
0x555555556011,4581158
0x555555556011,8970767
0x55555555601d,6755169
0x5555555562f0,3821635
0x55555555600f,5396959
0x55555555600c,11979658
0x555555555f22,2688236
0x5555555562f7,4799728
0x555555555f1e,2796957
0x555555556cd3,294
0x555555556011,3095493
0x555555555f10,471602
0x5555555562f0,3728049
0x55555555601a,4259111
0x555555556017,4504767
0x555555556011,10070359
0x555555556011,3296913
0x555555555f10,1064319
0x55555555601d,2901144
0x555555556008,10519147
0x555555556017,5347777
0x555555556b18,2978
0x555555556008,10918863
0x5555555565be,140484
0x555555555f1e,1618334
0x555555556008,7582377
0x555555555f25,429086
0x555555556008,1755538
0x555555555f16,879851
0x555555556011,9381059
0x555555556017,4866187
0x555555556026,1449395
0x555555556011,3299308
0x55555555601a,9919912
0x5555555562f3,6120448
0x555555556011,6018897
0x555555555f1b,558160
0x555555556017,4923350
0x55555555601a,1056428
0x555555556014,5383891
0x555555556026,1806331
0x55555555601a,4394507
0x55555555601a,6171202
0x555555556014,5719944
0x555555555f1e,455622
0x55555555601a,10206364
0x555555556008,3404422
0x55555555c859,373490
0x555555555f22,3234596
0x555555556008,5166211
0x5555555562f3,5683955
0x55555555600c,6804323
0x55555555a408,155203
0x555555556869,1428
0x55555555601a,4409040
0x555555555f10,1976655
0x55555555600c,335125
0x5555555565b0,991968
0x5555555562f0,4524893
0x55555555602a,778930
0x55555555c853,1702950
0x555555555f10,424448
0x555555555f10,1063775
0x555555556fb9,767
0x555555555f10,2475467
0x555555556008,8376299
0x555555556026,778842
0x555555555f25,3794669
0x555555556014,6493605
0x555555555f13,3187945
0x55555555c859,1780396
0x5555555562f0,4811581
0x55555555600f,371994
0x555555556008,12906866
0x55555555c856,1009808
0x555555556008,1931909
0x555555555f13,2338653
0x55555555601a,7931665
0x55555555600c,11859198
0x55555555601d,8147326
0x5555555562f7,4833061
0x555555556011,6530411
0x555555555f13,1251354
0x5555555562f0,4869123
0x55555555601a,1797415
0x555555556011,10069582
0x555555556011,11897213
0x555555555f22,3330607
0x555555555f10,961123
0x5555555565bc,657568
0x555555556008,11841056
0x555555555f22,3433779
0x55555555602a,300371
0x555555556017,12161880
0x55555555600c,3086644
0x55555555c859,407481
0x55555555a3e4,162671
0x55555555601d,5448836
0x5555555562f0,3469816
0x5555555562fa,4512042
0x555555556011,12137196
0x5555555562f7,6872229
0x5555555562fa,1095599
0x55555555c859,1178934
0x55555555601d,14897905
0x5555555562f0,5051659
0x5555555562f7,5564530
0x55555555601f,1326121
0x55555555a3c5,67528
0x5555555562f0,3729837
0x555555556026,1175617
0x5555555562f0,4357094
0x555555555f13,4318011
0x5555555562f3,5514482
0x5555555562f7,1759745
0x555555556026,477123
0x55555555a408,54481
0x555555555f1b,655240
0x555555556011,13768802
0x55555555a3e4,38471
0x555555556011,12023833
0x555555555f22,627860
0x55555555600c,7809411
0x555555555f1b,1179545
0x55555555c853,1129938
0x55555555601d,10784526
0x555555556011,5082055
0x5555555565de,210721
0x55555555c85e,777415
0x555555555f25,1107775
0x5555555562f7,4336902
0x555555555f10,2996975
0x555555556026,1037016
0x55555555601a,1672020
0x555555556017,10588400
0x555555555f10,237521
0x555555555f25,1464049
0x555555556011,5454121
0x555555556014,14602700
0x55555555600f,4412926
0x5555555565c1,500761
0x5555555565b3,977534
0x555555556011,2804738
0x555555556014,10426062
0x555555555f10,1091522
0x55555555601a,4963348
0x55555555600c,7506561
0x555555556008,11474773
0x555555556008,6878435
0x555555556017,4121882
0x55555555602a,1464198
0x55555555601a,14381519
0x555555556014,4092970
0x5555555562f7,1411852
0x55555555601a,11133299
0x555555555f1b,850241
0x55555555600c,11507178
0x555555556008,1244889
0x555555556014,8790719
0x555555556017,5597082
0x55555555601d,12269860
0x55555555601d,5600955
0x5555555562f0,6084828
0x555555556592,80081
0x55555555601a,14210896
0x55555555600c,4532443
0x555555555f10,2495753
0x555555556017,15052681
0x555555556011,4176932
0x55555555601d,2400092
0x555555556011,1551587
0x55555555601a,11983594
0x55555555600c,869797
0x5555555562f7,4470424
0x55555555c859,1363771
0x55555555600f,1983358
0x55555555600f,12509997
0x5555555562f3,6360149
0x555555556008,4753307
0x555555556017,14969118
0x555555556014,2017714
0x555555555f16,4247162
0x55555555600f,2957087
0x555555555f25,3129279
0x555555555f10,4205559
0x555555556017,14880061
0x555555555f1e,940264
0x555555555f10,3428648
0x5555555562fa,2453847
0x55555555a408,33112
0x55555555600c,11017555
0x5555555562f0,1725328
0x555555556011,2985264
0x555555556017,6040740
0x55555555600c,10836139
0x555555556008,8272004
0x55555555600c,10299423
0x55555555a425,95650
0x555555556581,80288
0x555555556011,7562011
0x5555555562f0,4699115
0x5555555562f3,1137488
0x55555555c859,1635812
0x555555555f1b,894226
0x555555556017,12717463
0x55555555600c,1515752
0x555555556008,3747615
0x555555555f1e,2969120
0x555555555f22,924841
0x555555556014,5957874
0x555555555f18,326661
0x55555555600c,1760274
0x55555555a43b,189274
0x555555556011,10529683
0x55555555601a,9268376
0x55555555600f,12388427
0x55555555601f,900090
0x555555555f13,2116745
0x55555555600c,6044323
0x55555555600c,4348498
0x555555556017,4591621
0x55555555601a,1499626
0x5555555562f7,5961068
0x5555555562f3,5082387
0x55555555601a,6553807
0x55555555600c,3194936
0x55555555601a,10843952
0x55555555601a,1078697
0x55555555601d,7885008
0x555555556011,3845637
0x555555556017,11257714
0x55555555600c,5055692
0x555555556011,3783944
0x555555555f10,592532
0x5555555562f0,2895568
0x55555555600c,4156852
0x555555555f1b,1015434
0x5555555562f0,3085287
0x55555555600c,3364174
0x55555555601d,8598295
0x555555555f1e,3169827
0x55555555c850,78204
0x555555556014,6783447
0x555555556017,14763984
0x5555555562f3,3698829
0x555555555f1b,238006
0x555555555f1b,711395
0x555555556008,1752053
0x555555556008,10004845
0x55555555600c,11791911
0x55555555a43b,77268
0x5555555565be,266013
0x5555555565b9,1085740
0x5555555565e7,212687
0x55555555600c,1782817
0x55555555601a,13284696
0x555555555f56,542
0x55555555601a,3068982
0x55555555c853,403834
0x5555555562f0,1678261
0x5555555565d5,42995
0x55555555a425,126739
0x55555555600f,3445772
0x555555555f1e,1904588
0x55555555601d,12860502
0x55555555c856,1655376
0x5555555565be,1276251
0x5555555562f0,2234365
0x5555555565b6,1011752
0x555555556011,8442246
0x55555555600c,2544695
0x5555555562f3,3769523
0x555555555f18,869569
0x55555555601a,3364418
0x555555556022,565932
0x555555556017,3155835
0x5555555562f7,3563384
0x555555556011,8269288
0x555555556014,8403850
0x55555555a3e4,104972
0x555555555f18,120259
0x5555555565b6,628135
0x55555555600c,10969122
0x5555555562fa,1132346
0x555555556008,6653655
0x555555556011,4076584
0x555555556008,7784042
0x55555555600f,11394567
0x55555555601f,193241
0x555555556011,4472153
0x555555556017,14458923
0x55555555601a,11142314
0x555555555f13,1015470
0x555555555f1e,2884170
0x55555555600f,1862577
0x555555556008,5244936
0x555555556022,406919
0x5555555565b6,1213884
0x55555555601a,12441961
0x555555555f22,595223
0x5555555562f0,6108649
0x555555555f10,2418901
0x5555555565b0,485240
0x55555555a420,223077
0x555555556011,4657431
0x5555555565be,471651
0x55555555c884,18945
0x555555556011,12221819
0x5555555562f3,2398725
0x555555555f22,3727459
0x55555555602a,114200
0x555555555f13,2489847
0x555555556008,2971529
0x55555555674c,147450
0x5555555562f3,4939900
0x5555555562f7,2825677
0x55555555a3d4,75813
0x5555555565b6,932047
0x555555556017,9620739
0x55555555601a,5490002
0x55555555c859,93463
0x55555555600f,9679265
0x55555555601f,1711156
0x555555556011,10981856
0x5555555565c1,168833
0x55555555a408,51852
0x7fffe41d0804,16
0x555555555f16,3154209
0x55555555600f,2485863
0x555555556017,4862412
0x5555555562f7,4392903
0x555555556011,2939201
0x5555555565b3,601778
0x555555556022,400967
0x555555556fd8,6
0x555555556011,3100646
0x555555555f1b,1498443
0x555555556008,4196813
0x555555555f1e,2084031
0x55555555600f,11816710
0x55555555600f,11778352
0x555555556014,2362457
0x555555556011,1324945
0x555555556011,5966396
0x555555555f22,3356555
0x555555555f10,2871202
0x555555555f22,1360155
0x7fffe41d06a2,6
0x555555556017,7442996
0x555555556008,479319
0x555555555f16,1079554
0x555555556017,9237310
0x55555555601d,8952644
0x555555556008,1508570
0x555555556017,4452845
0x555555556011,2310680
0x555555556008,11307012
0x555555555f13,846606
0x555555556008,5168255
0x55555555600f,11142981
0x5555555562fa,3677030
0x555555556017,1276796
0x5555555562f0,1341388
0x555555556008,12630535
0x55555555601a,9978541
0x555555556014,1060251
0x555555556022,654294
0x555555556a90,5851
0x5555555565b0,504586
0x55555555600f,9781354
0x555555555f10,2299108
0x555555555f1e,638831
0x55555555600c,11223024
0x5555555562f0,3009620
0x555555556008,6607782
0x55555555601d,2700205
0x555555556011,2373801
0x555555556017,14824650
0x555555556011,11583225
0x555555556011,10791846
0x555555555f16,1868003
0x555555556017,2407215
0x55555555601a,2048663
0x55555555600c,1929850
0x5555555562f3,5488532
0x555555555f1e,2966055
0x555555556017,11217554
0x55555555600f,12730174
0x55555555600c,8114735
0x555555555f1b,1435292
0x555555556011,6464671
0x55555555600c,9611617
0x55555555602d,2043830
0x555555556014,15270804
0x55555555c856,1717989
0x55555555c85c,1584461
0x555555556011,11249140
0x555555555f1e,2921329
0x55555555601a,8042603
0x555555555f10,700691
0x55555555601a,7218503
0x555555555f13,1504238
0x5555555562fa,702146
0x555555556008,5201903
0x555555555f1e,3688760
0x555555556011,12914702
0x555555556008,4062719
0x55555555600f,2493836
0x55555555600c,11786668
0x55555555601a,3779460
0x55555555c856,423137
0x55555555600c,10292739
0x555555555f25,2556710
0x555555556011,769168
0x555555556017,3725882
0x555555556014,1383225
0x5555555562f0,1279263
0x5555555562f7,3114714
0x5555555565be,744150
0x555555556008,7636852
0x55555555600c,9389709
0x555555555f1e,1876957
0x55555555601a,11143125
0x55555555c856,1883513
0x5555555562f3,4602886
0x55555555601d,3036605
0x55555555601a,8164493
0x5555555562f7,5258147
0x7ffff7fcf0f2,83
0x55555555602d,802964
0x555555556011,11999285
0x555555555f22,2841656
0x55555555c859,1200095
0x555555556008,11238771
0x555555555f1e,3546188
0x555555555f25,2427566
0x5555555562f0,2910309
0x555555556011,10529683
0x555555556008,10110879
0x55555555c856,686653
0x55555555c850,1215205
0x55555555602a,306357
0x5555555562f0,6641451
0x55555555600c,5974876
0x55555555600c,3462474
0x55555555602a,1896150
0x55555555a3ec,125849
0x5555555562f7,1673477
0x555555556014,5042259
0x55555555600c,187166
0x555555556011,13772610
0x555555556014,4657869
0x5555555562fa,3653046
0x555555556014,13376248
0x55555555601a,712146
0x555555556017,11037387
0x555555556017,13058602
0x555555556011,13784387
0x555555556008,10707511
0x5555555562f0,3500274
0x555555556014,11434663
0x555555556008,6581400
0x555555556014,12286069
0x555555556008,9646619
0x555555556008,11313888
0x55555555a420,151578
0x5555555562f0,6915963
0x55555555601d,11189960
0x5555555565b9,439647
0x555555556747,57684
0x555555555f10,529587
0x55555555601a,11326245
0x55555555600f,3657840
0x555555555f22,1148266
0x5555555562f0,2505565
0x555555556011,7822938
0x5555555562f3,3646987
0x555555555f1e,2885013
0x55555555601a,1114389
0x555555555f16,4422577
0x5555555562fa,4376077
0x555555556011,5005688
0x555555555f22,3053739
0x55555555600c,1468037
0x55555555600f,3436977
0x555555556011,1782979
0x55555555601a,6934707
0x55555555600c,4674678
0x55555555601a,9632152
0x55555555600c,11538663
0x555555556017,10101537
0x555555556008,7528772
0x555555556011,12149950
0x555555555f10,3539294
0x5555555562f0,5599162
0x555555556017,4526001
0x555555556008,1760775
0x55555555601a,10673958
0x555555556011,8753241
0x55555555600c,12668356
0x5555555562f3,2189058
0x55555555a43c,182285
0x555555555f10,3468372
0x555555555f25,1170398
0x555555556011,4144760
0x55555555c859,1256257
0x55555555602a,50210
0x55555555600f,11979888
0x55555555a43b,210497
0x555555555f13,1508748
0x555555556011,13534770
0x555555555f16,1019205
0x5555555562f3,1801113
0x5555555562fa,1640689
0x55555555600c,8260943
0x5555555562fa,5801139
0x555555555f13,3228165
0x55555555600c,9633380
0x555555556011,15121891
0x55555555601a,13792259
0x5555555562f0,1049299
0x55555555c859,670116
0x55555555601a,7093503
0x5555555562f0,2492074
0x5555555562f0,3260017
0x555555556011,8724840
0x5555555565b6,15978
0x55555555600c,11038800
0x55555555600f,3667927
0x5555555565c1,1233362
0x5555555562f3,1318589
0x555555556011,2806595
0x5555555562f3,5721099
0x555555556011,7775471
0x555555556011,12202938
0x5555555562f7,5996539
0x555555555f10,3355572
0x555555555f16,2886244
0x55555555602d,1157814
0x555555556014,2090276
0x555555556011,12966807
0x555555556011,2620895
0x555555556008,12720525
0x555555556017,1547934
0x55555555600c,1553107
0x55555555600c,3693722
0x5555555562f7,3955514
0x55555555c859,585396
0x55555555c856,1829947
0x555555555f25,2646032
0x55555555601a,9910318
0x555555555f25,1210026
0x55555555602a,108890
0x555555555f16,2002229
0x555555556008,7564527
0x555555555f16,3622340
0x5555555565d5,112746
0x55555555600c,11862306
0x555555555f18,764550
0x5555555562f3,1455608
0x55555555600c,8713377
0x55555555602a,415714
0x5555555565e4,163931
0x55555555600c,3086644
0x555555556008,6551287
0x555555555f13,1826446
0x55555555600c,6374537
0x55555555601a,5796711
0x555555556014,4194263
0x55555555601d,6319308
0x555555556011,4951619
0x55555555601f,312030
0x555555555f1b,1443046
0x555555556017,10159982
0x555555556c92,5
0x5555555562f0,1074792
0x55555555600c,6511302
0x5555555562f7,4595986
0x555555556011,5378169
0x55555555601a,8335859
0x55555555a434,77701
0x555555556011,4132960
0x55555555a434,33918
0x55555555600c,12796917
0x55555555600c,1573945
0x55555555600c,2015554
0x555555556008,12167238
0x555555556008,4675285
0x555555556017,4746415
0x555555556022,938390
0x555555556011,10062573
0x555555556022,2055867
0x55555555600f,10123725
0x5555555562f3,774844
0x55555555601d,9477297
0x555555556022,767043
0x555555555f10,1431258
0x555555555f22,2349617
0x55555555600c,11862306
0x55555555601a,11845873
0x555555556014,8170856
0x555555555f1e,1924724
0x55555555600c,4671421
0x555555556017,13804398
0x5555555562fa,4642528
0x555555555f22,2789715
0x555555556017,4390974
0x55555555601a,9890990
0x555555556017,11564365
0x555555555f1e,944252
0x55555555601d,14166898
0x555555556011,5159911
0x55555555600f,3949122
0x55555555a408,144799
0x5555555562f3,5813396
0x555555556026,918002
0x5555555562f7,3069977
0x555555556011,10666756
0x555555556008,8449128
0x55555555c752,11413
0x5555555565bc,662991
0x5555555562f7,6944163
0x555555556011,2318393
0x555555555f25,1071079
0x55555555c72d,11512
0x555555556011,13568674
0x5555555567e3,1472
0x5555555565b3,971566
0x55555555c85e,1848706
0x555555556026,839827
0x555555556017,11543477
0x5555555565b9,694702
0x55555555601a,13125881
0x555555556017,11050695
0x5555555562f0,6384758
0x55555555600c,2090201
0x555555556008,5730518
0x555555555f13,2346621
0x555555555f16,1827889
0x55555555601a,4409040
0x55555555657a,28305
0x555555555f13,3313358
0x555555556011,13356830
0x555555556011,6454486
0x55555555601a,1537910
0x555555556011,5475799
0x555555556014,2069716
0x5555555562f0,4350840
0x55555555600c,1025968
0x55555555601d,5881642
0x555555555f1b,906069
0x55555555600c,6291337
0x5555555569b8,12
0x555555556011,5512265
0x555555556008,2553899
0x5555555562f0,6985422
0x555555555f16,2483814
0x555555556011,6322728
0x555555556026,707796
0x5555555565b9,1162006
0x55555555a3c4,20306
0x555555556022,1787701
0x5555555562fa,1574919
0x55555555600c,8004243
0x555555555f22,904045
0x555555556011,13570153
0x555555556026,750458
0x55555555c85e,1223518
0x55555555601a,14031336
0x555555556011,14488843
0x555555555f1e,1877661
0x555555555f18,872797
0x55555555c85c,243967
0x555555556b6f,1570
0x555555555f25,3223143
0x55555555c856,816684
0x5555555562f7,1231148
0x555555556008,1262513
0x5555555565b9,18184
0x55555555602a,238994
0x5555555562fa,196382
0x555555556008,4163988
0x55555555602a,719345
0x55555555600c,3624454
0x555555556008,8513526
0x5555555565c1,656304
0x5555555562f3,4771789
0x55555555600c,6865027
0x555555556011,7817920
0x555555556014,13400999
0x555555556747,158836
0x55555555601d,4461483
0x555555556008,2783461
0x55555555601d,6219649
0x555555559380,353
0x555555555f22,1128993
0x555555556017,12855546
0x555555556017,7413046
0x5555555562f3,6367749
0x555555556017,12817416
0x555555555f8e,4475
0x555555555f1b,553817
0x555555556011,3032360
0x555555555f22,2517424
0x55555555600c,4222462
0x55555555601a,3617835
0x5555555562f0,1814967
0x555555556022,1828477
0x5555555562f7,5665845
0x555555556017,14460804
0x555555555f25,1778945
0x555555555f1b,147581
0x55555555601a,8333729
0x555555555f13,1690848
0x55555555601a,9833264
0x555555555f1e,2088819
0x555555556017,13938908
0x5555555565e4,136552
0x555555556014,13685393
0x55555555a416,122491
0x55555555601a,3958430
0x555555556017,9316912
0x555555556017,9503133
0x555555556008,8862268
0x555555556008,6986055
0x55555555600c,2690559
0x555555556008,3138702
0x55555555601a,1102513
0x55555555658e,91901
0x55555555601a,8770945
