PC,OCC,RESULT
0x555555556017,5361459,CORRECT
0x55555555601d,5561294,NOINJECT
0x55555555c856,723854,CORRECT
0x5555555565b6,111606,CRASH
0x555555556008,1767295,CRASH
0x555555556008,5086377,CRASH
0x555555556014,3497528,CORRECT
0x5555555562f7,3228615,SDC
0x5555555562fa,1832136,NOINJECT
0x5555555562f3,3145267,CORRECT
0x5555555562f0,2682266,CORRECT
0x555555555f16,929923,CRASH
0x5555555562fa,2976342,NOINJECT
0x555555556017,1215208,CORRECT
0x55555555600f,5380570,CRASH
0x555555556008,5924149,CRASH
0x555555556017,5063477,CORRECT
0x55555555600c,1907736,CORRECT
0x555555555f25,1144353,NOINJECT
0x55555555601a,1565443,CORRECT
0x555555555f10,1012760,CORRECT
0x5555555562f3,1157282,CRASH
0x555555556014,4399287,CORRECT
0x55555555c853,1627105,CORRECT
0x555555556017,5124540,CORRECT
0x5555555565b6,24142,CRASH
0x555555556008,3971150,CRASH
0x55555555601a,6063761,CORRECT
0x55555555602d,284584,NOINJECT
0x555555556011,551833,CORRECT
0x555555556011,3616723,CORRECT
0x555555555f13,1342641,CORRECT
0x555555556014,2934225,CORRECT
0x55555555c856,827661,CORRECT
0x5555555562fa,3138533,NOINJECT
0x555555556017,6696488,CORRECT
0x555555555f1e,1526278,CORRECT
0x55555555600f,1962852,CRASH
0x55555555600f,5389544,CRASH
0x55555555601d,88896,CRASH
0x55555555c84a,26284,CORRECT
0x55555555c853,1787664,CORRECT
0x55555555601a,6050426,CORRECT
0x5555555562f0,106036,CORRECT
0x555555556014,1191178,CORRECT
0x555555555f10,1092305,CORRECT
0x55555555c72d,11892,SDC
0x555555556011,3638501,CORRECT
0x55555555602a,385915,SDC
0x555555556014,5146928,CORRECT
0x5555555562f7,1620101,SDC
0x55555555600c,5182808,CORRECT
0x555555556017,1332199,CORRECT
0x55555555602d,746121,NOINJECT
0x5555555562f3,2807114,CRASH
0x555555555f1e,1063839,CRASH
0x555555556014,3316171,CORRECT
0x555555555f18,91881,CORRECT
0x555555556008,4107710,CRASH
0x555555556017,4918574,CORRECT
0x55555555c85c,904558,CORRECT
0x55555555c850,704076,CORRECT
0x55555555601d,3468502,NOINJECT
0x55555555601f,568880,CORRECT
0x55555555c85e,1063426,NOINJECT
0x5555555562f7,831258,SDC
0x55555555c853,1832932,CORRECT
0x555555556011,6092394,CORRECT
0x555555556008,5109860,CRASH
0x555555556017,1191076,CORRECT
0x555555556014,1487449,CORRECT
0x555555556017,3264657,CORRECT
0x555555556011,6610247,CORRECT
0x555555555f16,235561,CRASH
0x55555555601d,6677453,NOINJECT
0x55555555600f,5844710,CRASH
0x555555556011,4135064,CORRECT
0x55555555600c,2748392,CORRECT
0x555555556011,1024653,CORRECT
0x555555556011,118669,CORRECT
0x5555555562f3,44353,CRASH
0x555555555f16,693671,CRASH
0x555555555f25,1644062,NOINJECT
0x5555555565bc,623996,CORRECT
0x5555555562fa,2209581,NOINJECT
0x555555555f13,617742,CORRECT
0x555555555f13,1925436,CORRECT
0x555555556011,5777646,CORRECT
0x555555556022,689074,CRASH
0x555555556011,1312668,CORRECT
0x5555555562f3,2675923,CRASH
0x555555555f10,315041,CORRECT
0x55555555600f,607854,CRASH
0x555555556008,4898992,CRASH
0x555555556011,3354689,CORRECT
0x55555555c850,765179,CORRECT
0x555555555f16,1454897,CRASH
0x555555556017,806924,CORRECT
0x5555555562f0,1281213,CORRECT
0x5555555562fa,56209,NOINJECT
0x5555555565b0,537937,CORRECT
0x555555556011,5636700,CORRECT
0x5555555562f7,2856911,CORRECT
0x555555556014,4427276,CORRECT
0x55555555601d,535853,CRASH
0x555555556869,3419,CORRECT
0x55555555c850,49848,CORRECT
0x555555556008,1030071,CRASH
0x55555555601a,278233,CORRECT
0x555555556014,7152759,CORRECT
0x555555555f22,543797,SDC
0x55555555601a,6575809,CORRECT
0x555555556026,641336,NOINJECT
0x5555555562fa,546469,NOINJECT
0x55555555c850,894860,CORRECT
0x555555556008,1843103,CRASH
0x555555556022,951045,CRASH
0x55555555600f,2763925,CRASH
0x55555555600c,5427122,CORRECT
0x5555555562fa,2483539,NOINJECT
0x55555555c859,1440236,CORRECT
0x55555555601d,3329561,NOINJECT
0x5555555562f0,2833374,CORRECT
0x555555556022,4465,CRASH
0x5555555565d9,96962,CORRECT
0x55555555601d,3824682,NOINJECT
0x55555555c850,1410321,CORRECT
0x55555555c856,77929,CORRECT
0x555555555f25,886384,NOINJECT
0x555555555f10,808968,CORRECT
0x55555555601a,1093669,CORRECT
0x55555555600c,5202663,SDC
0x55555555c85e,657364,NOINJECT
0x555555556011,273883,CORRECT
0x5555555562fa,1996002,NOINJECT
0x55555555c850,1885649,CORRECT
0x55555555602a,611183,CORRECT
0x555555556014,777895,CORRECT
0x55555555a3ec,57771,NOINJECT
0x5555555562f0,3257979,CORRECT
0x55555555601a,3541549,CORRECT
0x555555556017,3748507,CORRECT
0x55555555659f,4926,CORRECT
0x555555556011,6457741,CORRECT
0x55555555601a,2520315,CORRECT
0x5555555562f3,2528218,CORRECT
0x55555555601d,3768468,NOINJECT
0x555555555f22,1064971,SDC
0x55555555c85e,761787,NOINJECT
0x55555555601d,6690948,NOINJECT
0x55555555601a,3863643,CORRECT
0x55555555c85e,743477,NOINJECT
0x555555556008,5304494,CRASH
0x55555555600c,3945756,CORRECT
0x555555556008,2006875,CRASH
0x555555556011,343998,CORRECT
0x555555556014,7032533,CORRECT
0x55555555602a,794213,SDC
0x555555556011,5016313,CORRECT
0x555555555f1e,1764227,CRASH
0x5555555562fa,894813,NOINJECT
0x5555555562f0,2055291,CORRECT
0x555555556017,7059521,CORRECT
0x55555555c85c,552113,CORRECT
0x555555556017,5262539,CORRECT
0x55555555601a,2188199,CORRECT
0x5555555565b6,527004,CRASH
0x55555555600f,6139179,CRASH
0x55555555600f,936352,CRASH
0x55555555c859,1641609,CORRECT
0x5555555562f0,2422536,CORRECT
0x5555555562f0,1345826,CORRECT
0x555555556008,4446448,CRASH
0x555555556570,86183,CORRECT
0x55555555c85e,643975,NOINJECT
0x5555555562f3,2420431,CRASH
0x555555556014,1116898,CORRECT
0x55555555601f,898600,CORRECT
0x55555555601a,2074972,CORRECT
0x555555556008,2371736,CRASH
0x55555555c856,1330482,CORRECT
0x555555555f18,686456,CORRECT
