PC,OCC,RESULT
0x55555556e2a4,3876182,CORRECT
0x555555570f12,1160090,CORRECT
0x555555566208,21494,CRASH
0x555555572799,2558281,CORRECT
0x55555556ac41,17426,CORRECT
0x5555555628d4,142485,CORRECT
0x555555572a07,5766354,CORRECT
0x555555572342,6463347,CORRECT
0x555555560c81,1387213,CORRECT
0x55555557294c,7195036,CORRECT
0x55555557053b,622080,CORRECT
0x55555556be64,3599508,NOINJECT
0x555555562826,1200409,NOINJECT
0x555555571368,148009,CORRECT
0x5555555728c9,3527872,CORRECT
0x555555560c70,1102599,CORRECT
0x55555556e6aa,2682635,CORRECT
0x55555557013e,3996858,NOINJECT
0x555555568fd8,291052,NOINJECT
0x55555556bbaf,1279466,NOINJECT
0x5555555722b3,5992755,CORRECT
0x555555570cef,523944,CORRECT
0x55555557232e,7758353,CORRECT
0x555555562dd0,3568708,NOINJECT
0x555555569200,6288162,CORRECT
0x555555564eae,3194320,NOINJECT
0x55555556e21a,1692180,CORRECT
0x5555555612f7,6405650,NOINJECT
0x555555563573,3207996,CORRECT
0x555555572ac5,4958415,CORRECT
0x55555556b876,2518844,CORRECT
0x5555555644d0,1020506,SDC
0x55555556e59e,5755575,CORRECT
0x555555572247,478938,SDC
0x55555556e335,7643099,CORRECT
0x555555558588,190243,CORRECT
0x55555557073c,3942301,CORRECT
0x55555556cac5,3702824,NOINJECT
0x555555565657,247711,CORRECT
0x555555568ed5,3543946,CRASH
0x55555556bbbe,3223216,CORRECT
0x55555557098b,4270881,CORRECT
0x55555556bb5d,1213881,NOINJECT
0x55555556fd86,4195349,CORRECT
0x555555560d78,1174,CORRECT
0x55555557250f,6725591,CORRECT
0x555555566555,67039,CORRECT
0x55555556d5cc,59736,CORRECT
0x5555555655c9,7404167,CRASH
0x5555555724c2,1218778,CORRECT
0x555555572776,6338829,CORRECT
0x55555556e983,5876326,CORRECT
0x55555556e40f,5439258,CORRECT
0x55555556369e,179043,SDC
0x55555556c3af,2931819,CORRECT
0x55555556bb8f,3597550,CORRECT
0x5555555674b2,1030509,CORRECT
0x55555556efe8,154517,CRASH
0x555555572763,5928809,CORRECT
0x55555556e323,5182056,NOINJECT
0x5555555668de,1677847,NOINJECT
0x5555555704f5,3593109,CORRECT
0x555555564d0b,38355,SDC
0x555555570402,873282,CORRECT
0x555555566e0f,5180069,CORRECT
0x55555556caea,1992490,NOINJECT
0x55555556bc1b,1148697,CORRECT
0x555555565622,5273474,CORRECT
0x555555565580,991645,CORRECT
0x55555557240b,8360331,CORRECT
0x555555570764,3078725,NOINJECT
0x55555556f91b,2620765,CORRECT
0x555555565565,6979287,CORRECT
0x55555556e67c,8149611,CORRECT
0x555555558ab9,40003,CORRECT
0x55555556754e,1790886,NOINJECT
0x55555556fa7c,2682693,NOINJECT
0x55555556e479,8517943,CORRECT
0x55555556fe32,4010308,CORRECT
0x555555572b07,2026376,CORRECT
0x55555556e746,1033054,NOINJECT
0x55555556ca42,1083975,CORRECT
0x5555555627c2,1129788,CORRECT
0x5555555727b0,4797730,CORRECT
0x555555564e9c,2755654,CORRECT
0x55555556e987,1312739,CORRECT
0x555555568cdd,6919169,SDC
0x55555556bd46,84070,CORRECT
0x55555556c54a,1862348,CORRECT
0x55555556bb8f,1334596,CORRECT
0x55555556fe5e,3864013,CORRECT
0x55555557038e,4125527,CORRECT
0x55555556265e,4778040,CORRECT
0x555555568f0d,426377,CORRECT
0x55555556c255,1819486,CORRECT
0x555555572522,1302918,CORRECT
0x55555557250f,6413167,CORRECT
0x55555556ff53,2928574,CORRECT
0x55555556f976,1971124,CORRECT
0x55555556bcb3,2996868,CORRECT
0x555555572b19,465280,NOINJECT
0x555555567472,2963276,CORRECT
0x555555566525,1466666,NOINJECT
0x55555556c373,287114,CORRECT
0x55555556e522,1250441,CORRECT
0x555555561cc1,7127502,NOINJECT
0x55555556f9f3,3912480,CORRECT
0x55555556b444,23478,SDC
0x555555572aa3,4916401,CORRECT
0x555555566ddc,6826539,NOINJECT
0x55555556e2e0,528725,CORRECT
0x5555555724e4,4536566,CORRECT
0x5555555707a8,22282,NOINJECT
0x55555556e2f6,4661761,CORRECT
0x555555568ef8,429829,SDC
0x55555556bdf5,2002983,CORRECT
0x55555556e892,4338137,CORRECT
0x55555556f99b,2670057,CORRECT
0x55555556282c,104725,NOINJECT
0x55555557078d,1132357,CORRECT
0x555555561c98,10221577,CORRECT
0x55555556e37f,8091767,CORRECT
0x555555572ad9,5370116,CORRECT
0x5555555664b6,929187,CORRECT
