PC,OCC,RESULT
0x55555555af10,2435,CORRECT
0x55555555cfd5,15624,CORRECT
0x555555558ee8,9475,CORRECT
0x7ffff7fcf151,53285,CORRECT
0x55555556105b,3393,NOINJECT
0x55555555cbae,6069,CORRECT
0x55555555c87e,3676,NOINJECT
0x55555555abcf,3917,CORRECT
0x55555555efb4,4385,NOINJECT
0x5555555612fc,1546,CORRECT
0x555555559990,4518,CORRECT
0x55555555baed,637,CORRECT
0x55555555d22d,7026,CORRECT
0x55555555fb96,1634,NOINJECT
0x55555555d003,8313,CRASH
0x555555561277,5760,CORRECT
0x555555560121,3463,NOINJECT
0x555555559ef8,4824,CORRECT
0x555555559859,636,CORRECT
0x5555555590d5,9745,CORRECT
0x555555559784,2480,CORRECT
0x55555555fbe7,3391,CORRECT
0x55555556066a,3326,NOINJECT
0x55555555af5a,3409,CORRECT
0x55555555cfe3,1479,CORRECT
0x555555559cbe,1675,CORRECT
0x5555555595e3,4601,NOINJECT
0x7ffff7fce4d7,2237,CORRECT
0x7ffff7fdaa75,1705,CORRECT
0x55555555afa7,1239,CORRECT
0x7ffff7fce7e4,1637,CRASH
0x55555555fb96,1620,NOINJECT
0x7ffff7fd44ec,1360,CORRECT
0x7ffff7fcf14e,82924,CORRECT
0x55555556092f,4258,CORRECT
0x555555559c71,3736,CORRECT
0x7ffff7fd44c4,388,CRASH
0x555555561ec6,399,CORRECT
0x7ffff7fce523,4931,CRASH
0x555555560b92,4992,CORRECT
0x555555560859,4837,CORRECT
0x555555560972,4787,NOINJECT
0x55555555cbee,244,CORRECT
0x55555555f410,4638,CORRECT
0x55555555f6ee,1304,CORRECT
0x55555555b46c,2847,CORRECT
0x55555555c464,2939,CORRECT
0x55555555a2ed,4282,CORRECT
0x55555555aa09,617,CORRECT
0x5555555622fb,4375,CORRECT
0x555555559373,790,CRASH
0x55555555a295,3661,CRASH
0x55555555bbcd,4837,CRASH
0x7fffe3dc0298,643,NOINJECT
0x7fffe3dc0e79,1389,NOINJECT
0x55555555f215,2287,CORRECT
0x55555555d63d,3620,CORRECT
0x555555561e27,3376,CORRECT
0x7ffff7feb644,828,CRASH
0x55555555adb1,4645,NOINJECT
0x555555561e8e,2473,CORRECT
0x55555555b166,2650,CORRECT
0x5555555615dc,4719,CORRECT
0x55555555d55e,11822,CORRECT
0x555555558fc0,2356,CORRECT
0x55555555ee0c,1819,NOINJECT
0x7fffe3dbe918,735,NOINJECT
0x55555555d276,7572,CORRECT
0x5555555610b1,1216,CORRECT
0x55555555e4c9,120,NOINJECT
0x5555555592c8,6209,CORRECT
0x555555560181,3795,NOINJECT
0x555555561f3c,4471,CORRECT
0x555555560e2d,2902,CORRECT
0x555555559c88,4025,CORRECT
0x55555555bac5,3950,CORRECT
0x5555555620d9,2872,CORRECT
0x7ffff7fd446b,2241,CORRECT
0x555555561fe0,2961,CORRECT
0x5555555601f6,49,CORRECT
0x7fffe3fa5e98,1300,NOINJECT
0x555555560c91,3571,NOINJECT
0x555555558c5d,4420,NOINJECT
0x55555555988e,4201,CORRECT
0x7fffe3fa76d6,1284,NOINJECT
0x55555555a1fa,4764,CORRECT
0x7ffff7fce706,1502,NOINJECT
0x55555555efb4,4657,NOINJECT
0x7fffe3fa7275,2285,NOINJECT
0x7fffe4231a3f,3,NOINJECT
0x555555559015,239,CORRECT
0x5555555599d7,413,CORRECT
0x55555556101d,2802,CORRECT
0x7ffff7fd4449,2833,CORRECT
0x55555555c66e,13251,NOINJECT
0x5555555620d9,3986,CORRECT
0x55555555b547,4125,CORRECT
0x55555555efb4,4566,NOINJECT
0x555555560c23,2018,CORRECT
0x555555559ed8,1107,NOINJECT
0x5555555595a5,4547,NOINJECT
0x55555555c8a4,95,CRASH
0x7fffe3dbd817,2711,NOINJECT
0x7fffe3ffdb3a,784,NOINJECT
0x5555555599eb,2235,CORRECT
0x55555555ee0c,1654,NOINJECT
0x55555555acd8,2786,CORRECT
0x555555559dda,1866,CORRECT
0x55555555a268,4067,NOINJECT
0x7fffe3dc05fe,659,NOINJECT
0x55555555c68c,9007,CORRECT
0x55555555d944,1402,CORRECT
0x55555555d566,48656,NOINJECT
0x55555555ab49,2619,NOINJECT
0x55555555cbe4,9658,CORRECT
0x55555555acff,2693,NOINJECT
0x55555555efe5,89,CORRECT
0x55555555cda6,5829,CORRECT
0x7ffff7fd4403,47,NOINJECT
0x55555555f88b,4063,CORRECT
0x555555558eff,2474,CORRECT
0x55555555967f,1784,CORRECT
0x55555555cb94,15991,CORRECT
0x555555559265,8361,CORRECT
0x7fffe3f9c9dc,1570,NOINJECT
0x55555555d56f,23412,CORRECT
0x7fffe3dbfe6f,1527,NOINJECT
0x555555561787,409,CORRECT
0x55555555fb4d,2012,NOINJECT
0x555555561d88,1330,CORRECT
0x55555555fea5,120,NOINJECT
0x5555555616ab,1053,NOINJECT
0x555555560a37,3425,CORRECT
