PC,OCC,RESULT
0x555555564f95,43170,SDC
0x555555564ea0,27236,SDC
0x55555555eba4,897802,CORRECT
0x5555555642cd,238,SDC
0x5555555657e4,7660,NOINJECT
0x555555566405,3257,CRASH
0x55555555eba4,210060,CORRECT
0x55555555ebab,415570,SDC
0x55555555bf75,146071,CRASH
0x55555555c6b4,756,CRASH
0x55555555ebba,126356,NOINJECT
0x55555555bf85,11624,CRASH
0x55555555c6e0,20821,CORRECT
0x55555555ebba,36478,CRASH
0x555555564880,2810,NOINJECT
0x555555565418,1195,CORRECT
0x555555564195,54453,NOINJECT
0x555555565508,4344,CORRECT
0x5555555658d4,133,SDC
0x555555566675,3343,NOINJECT
0x55555555c0b6,6373,CRASH
0x5555555640d5,25629,SDC
0x55555555e6a4,8716,CORRECT
0x55555555ebab,3128,CORRECT
0x55555555bf6d,79912,CORRECT
0x55555555eba4,698154,CORRECT
0x555555564e6f,19952,SDC
0x5555555640d3,96938,NOINJECT
0x55555557029b,4269,CORRECT
0x555555564eb7,7251,SDC
0x555555564f78,51430,CRASH
0x555555564b72,4246,CORRECT
0x7ffff7fce42d,1148,NOINJECT
0x555555565154,773,CORRECT
0x55555555ebab,848287,CORRECT
0x7ffff7fce7cd,928,CRASH
0x555555564f39,24909,SDC
0x55555555ec39,3483,SDC
0x7ffff7fd447c,755,NOINJECT
0x555555564e5b,18432,CORRECT
0x555555565193,5268,CORRECT
0x7ffff7fce7df,39,CORRECT
0x55555556427a,2027,SDC
0x55555555bf60,115559,CORRECT
0x55555555eba0,109553,CRASH
0x555555560605,26371,CORRECT
0x55555555bf60,7753,CRASH
0x55555555ebb0,144754,CRASH
0x55555555ea00,9396,SDC
0x55555555ebab,424114,SDC
0x5555555640e2,128001,SDC
0x55555555eba0,572125,CRASH
0x55555555c6fb,38399,NOINJECT
0x55555555ebb4,785585,CORRECT
0x5555555606bc,7555,CORRECT
0x55555555ebb4,609116,CORRECT
0x55555555ebba,156014,NOINJECT
0x555555560540,706,CRASH
0x555555564192,108792,CORRECT
0x55555556416d,15047,SDC
0x55555555eba0,659697,SDC
0x5555555656da,3790,SDC
0x55555555eb97,28337,CRASH
0x55555555eb95,29469,CORRECT
0x55555555bf60,40981,CRASH
0x5555555640f6,72906,SDC
0x5555555640f6,51461,CORRECT
0x55555555ebab,93610,SDC
0x7fffe39a7716,25,NOINJECT
0x55555555bf70,131950,CRASH
0x555555564ea5,14489,SDC
0x55555555bf82,58972,CORRECT
0x555555564edf,21076,NOINJECT
0x55555555ebba,342287,NOINJECT
0x5555555644e2,416,CORRECT
0x55555555ebb0,521765,CRASH
0x555555560609,20988,NOINJECT
0x5555555627c4,592,CORRECT
0x7ffff7fce478,1616,CRASH
0x55555555eedf,2072,SDC
0x555555564f84,25772,CRASH
0x55555555eba4,320757,CORRECT
0x55555555ebb8,502046,SDC
0x55555555eed1,1419,CORRECT
0x55555555ebba,586839,NOINJECT
0x7ffff7fcf16b,116,CORRECT
0x5555555652d6,1328,SDC
0x55555555e6aa,5042,CORRECT
0x55555555eb89,32026,CORRECT
0x555555564195,83739,NOINJECT
0x555555564f39,1684,CORRECT
0x55555555ec4d,18857,NOINJECT
0x555555564600,2236,SDC
0x55555555eba0,205118,CRASH
0x555555564fb9,9590,CORRECT
0x55555555c709,39494,CRASH
0x7ffff7fcf14e,78176,CORRECT
0x5555555644a5,5667,SDC
0x55555555ebb8,589746,SDC
0x7fffe39a8e8a,376,NOINJECT
0x55555555eba0,275432,CRASH
0x55555555bf55,900,CORRECT
0x55555555bf79,65103,CORRECT
0x55555555ebb4,598405,SDC
0x7ffff7fdaa84,135,CORRECT
0x5555555640d8,44285,SDC
0x7ffff7fea220,774,NOINJECT
0x55555555c729,3024,CRASH
0x555555565390,4004,CORRECT
0x55555555bf82,41704,CORRECT
0x555555564f75,21139,SDC
0x555555564f8f,41232,CRASH
0x5555555640f2,30113,CRASH
