PC,OCC
0x555555557bbe,86079891
0x555555557a72,2546548
0x5555555584f4,9701627
0x555555557b03,79261749
0x5555555582bc,5385910
0x555555557bc1,6268311
0x5555555579ac,1826500
0x5555555584ed,7725351
0x555555557b75,63409774
0x555555557a49,82607981
0x555555557ba6,51501737
0x555555557b50,86911444
0x555555557bc4,20505520
0x555555557a4f,38161247
0x555555557b7e,12924450
0x5555555583d4,3156534
0x555555557b90,88757664
0x555555557b95,69680419
0x555555557ae4,22780214
0x555555557b2c,44744836
0x555555557add,53652076
0x555555557afe,84351429
0x555555557dac,10407389
0x555555557ba6,43618712
0x555555557b18,14583571
0x555555557b4b,63376973
0x555555557ad8,31740570
0x555555557ae8,87976038
0x555555557a49,65751981
0x555555557b68,50972798
0x555555557b55,41064634
0x7fffe4240459,149742
0x555555557b20,84343651
0x555555557db2,15773822
0x5555555579e3,6233175
0x555555557a12,4947834
0x555555557bbe,81933615
0x555555557b64,49513361
0x555555557c99,2076010
0x555555557a45,34518311
0x555555557af0,71268982
0x5555555580d3,1680179
0x7fffe4240720,6406417
0x5555555582d6,2423794
0x5555555579bd,5034957
0x555555557b46,21498876
0x555555557a5c,15667151
0x555555557ba2,88031596
0x555555557bc1,41024972
0x555555557b0a,91341304
0x555555557b9e,29183649
0x555555557a38,77595450
0x555555557b7a,29258231
0x555555557a58,7250373
0x555555557af8,17132629
0x55555555833b,2229010
0x555555557bc4,21690262
0x555555557b3d,5382406
0x7fffe4240730,3329448
0x555555558419,3326164
0x555555557b7a,60876183
0x555555557b26,57575013
0x555555557b42,13812936
0x5555555579e1,11086987
0x555555557a52,20204943
0x7fffe424042b,1693277
0x555555557da8,14560487
0x555555557bcd,62890666
0x555555557a52,56212495
0x555555557c94,844689
0x555555558512,5778419
0x5555555583ac,1500013
0x555555557b5a,20429245
0x5555555583bc,1828485
0x555555558556,117293
0x555555557bd6,84851731
0x555555557b20,48595495
0x555555557a65,2159712
0x555555557b0a,62953136
0x555555558374,1978613
0x555555558508,2324361
0x555555557ab0,1960477
0x555555557a49,7280840
0x555555557b0e,24244571
0x555555557bb9,82463722
0x555555557bc4,79681910
0x555555557b39,42211303
0x555555557bc1,14789141
0x5555555580e8,4407938
0x5555555584ed,16015000
0x555555557b30,72119272
0x555555557b6c,14965534
0x555555557b5f,63363758
0x555555557b4b,44393054
0x555555557af8,33363704
0x555555557ba2,55848601
0x555555557b8c,50972179
0x555555557bb9,16657350
0x555555557a1b,1035746
0x555555557a55,24279735
0x555555557b68,14696573
0x555555557a4f,26135202
0x555555557b83,48912859
0x555555557a3b,26073233
0x555555557b55,19103916
0x555555557b50,8478115
0x555555557db5,43790205
0x555555557b46,49047489
0x555555558369,782991
0x555555557a2d,669890
0x555555557b71,43087723
0x555555557b90,47368645
0x555555557a5c,61044182
0x555555557b26,73156160
0x555555557b0a,27483052
0x555555557b68,63337904
0x555555557b95,77901277
0x555555557bd6,85164482
0x555555557ae8,42543647
0x555555557b07,5558565
0x555555557b64,66849124
0x555555557ad8,35044488
0x555555558407,4860890
0x555555558344,3715541
0x555555557b0e,15698006
0x55555555855d,35031634
0x555555557a0f,3966495
0x5555555584fe,10992556
0x55555555854a,6469721
0x555555557b34,2768153
0x5555555584e5,8943580
0x555555557add,85463364
0x555555557b68,25548475
0x555555557add,2327963
0x555555557b4b,32708211
0x555555557b71,51926060
0x555555557a38,86319520
0x555555557ae0,55699584
0x555555557c97,3555431
0x555555557b30,45771842
0x555555557b64,27664836
0x55555555837d,3155901
0x5555555584f7,7217365
0x555555557b50,7878372
0x555555557a49,65054372
0x55555555846b,4561903
0x555555557bc9,1482887
0x555555557b03,70282476
0x555555557bc1,75326579
0x555555557b9a,40722679
0x555555557a45,54683861
0x555555557db2,28456168
0x555555557a67,4778076
0x55555555831c,1279807
0x555555557ae8,34499771
0x555555557a65,2547274
0x555555557af8,5520768
0x555555557b03,27358618
0x555555558501,4279022
0x55555555855f,24131956
0x555555557a3b,89709273
0x555555557a72,3233504
0x555555557afe,90062274
0x555555557bc9,56593154
0x555555557b18,79358235
0x555555557c93,2015134
0x555555557ad8,60955079
0x5555555581b8,162191
0x555555557bc4,30289458
0x555555557afe,30010752
0x555555557b07,11527800
0x555555557b9a,5043242
0x555555557aec,28133831
0x555555558561,6546052
0x555555557af5,18417404
0x555555557bd6,21746717
0x555555557baa,29656967
0x5555555584ed,15149448
0x7fffe424040a,5568274
0x7fffe424040a,3870898
0x555555557af5,63953388
0x555555557b90,29166356
0x555555557a4f,50760368
0x5555555583be,888949
0x55555555854a,15866006
0x7fffe424040a,6382795
0x555555557ae4,17755746
0x5555555579d2,4328279
0x555555557c95,1398262
0x555555557bc4,58798434
0x555555557a3b,119728127
0x555555557ad8,63344141
0x555555557b7a,95200298
0x555555557b4b,43674354
0x555555557b71,60899032
0x555555557b20,22833718
0x555555557b9e,54962979
0x555555557baa,72928255
0x555555557db2,52320637
0x555555557b55,67941470
0x555555557bd6,42445781
